contested_view,left_wing_view,right_wing_view,list_of_empirical_approaches
Raising the minimum wage significantly reduces poverty without substantial job loss.,"Higher minimum wages boost incomes for low-wage workers, reduce poverty/inequality, and any employment effects are small or offset by higher demand.","Minimum-wage hikes price low-skill workers out of jobs, reduce hours/benefits, and accelerate automation, ultimately harming those they intend to help.","['Difference-in-differences comparing jurisdictions before/after wage hikes', 'Synthetic control studies using matched comparison regions', 'Firm-level panel data on employment, hours, wages, and prices', 'Randomized or quasi-random policy phase-ins across regions', 'Meta-analysis of minimum-wage studies with publication-bias checks']"
Rent control improves housing affordability for renters overall.,"Rent control prevents rent gouging, stabilizes communities, reduces displacement, and can increase effective affordability for incumbent and some new renters.","Rent control reduces housing supply and quality, misallocates units, increases rents in uncontrolled segments, and worsens affordability long-term.","['Event studies around rent-control adoption/repeal', 'Longitudinal microdata on rents, mobility, and eviction filings', 'Housing construction permit analysis pre/post policy', 'Natural experiments from threshold-based coverage rules', 'Distributional analysis separating incumbent vs new renter effects']"
Stricter gun control reduces homicide and suicide rates.,Limiting access to high-risk weapons and closing loopholes reduces lethal violence and suicide; other countries/states with tighter laws often have lower death rates.,Criminals will obtain guns regardless; lawful ownership deters crime; focusing on enforcement and mental health is more effective than broad restrictions.,"['Panel regressions across states/countries with policy indices', 'Interrupted time-series after major gun-law changes', 'Case-control studies of household gun ownership and suicide risk', 'Crime tracing and trafficking network analysis', 'Instrumental variables using policy discontinuities']"
Police funding increases reduce crime more than alternative social spending.,"Marginal police funding has diminishing returns; reallocating to prevention (housing, mental health, youth programs) reduces crime sustainably and reduces harms from over-policing.","Police presence and resources deter crime and improve clearance rates; cuts increase disorder and victimization, especially in high-crime neighborhoods.","['Difference-in-differences using budget shocks (e.g., grants, fiscal crises)', 'Regression discontinuity around close election outcomes affecting police budgets', 'City-level panel models linking staffing to crime/clearance rates', 'Cost-effectiveness comparisons vs social program expansions', 'Micro-geographic policing deployment experiments (where feasible)']"
Cash welfare programs reduce long-term dependency and improve life outcomes.,"Income support stabilizes families, improves child outcomes, and helps recipients invest in work/education; most recipients use benefits temporarily.","Generous cash assistance reduces work incentives, increases dependency, and can foster intergenerational welfare reliance.","['Randomized controlled trials of cash transfers', 'Longitudinal administrative data on earnings and benefit receipt', 'Policy discontinuity analyses around eligibility thresholds', 'Cohort studies tracking children’s education/health outcomes', 'Structural labor-supply modeling of benefit incentives']"
Immigration increases net fiscal benefits and raises average native wages in the long run.,"Immigrants fill labor shortages, start businesses, contribute taxes, and complement native workers; overall growth and innovation increase.","Immigration burdens public services, suppresses wages for low-skill natives, and reduces social cohesion; benefits accrue to elites while costs hit workers.","['Natural experiments (refugee waves, policy shocks) and local labor market outcomes', 'Fiscal impact accounting using tax/transfer microdata', 'Instrumental variables using historical settlement patterns', 'Firm- and patent-level analyses of innovation and entrepreneurship', 'Distributional wage effects by skill group using panel data']"
Trade liberalization benefits the median worker in high-income countries.,"Trade can raise prices’ efficiency but often harms specific regions/workers; without strong adjustment policies, median workers may lose.","Trade lowers consumer prices, increases competitiveness, and creates higher-productivity jobs; protectionism reduces growth and invites retaliation.","['Regional exposure studies (e.g., import competition indices) and wage/employment effects', 'Consumer price index decomposition by traded goods', 'Longitudinal worker-level data on displacement and reemployment', 'General equilibrium modeling validated against observed shocks', 'Policy evaluation of adjustment programs (training, wage insurance)']"
Higher corporate tax rates mainly reduce inequality without major harm to growth.,Corporations can bear higher taxes via profits; revenues fund public goods and reduce inequality; growth effects are modest if well-designed.,"Corporate taxes reduce investment, productivity, and wages (borne by workers/consumers); higher rates drive offshoring and tax avoidance.","['Cross-country panel analysis of corporate tax changes and investment', 'Firm-level responses to tax reforms (capex, wages, profit shifting)', 'Synthetic control of major tax overhauls', 'Incidence studies estimating who bears the tax (labor vs capital)', 'Growth accounting pre/post reforms']"
Carbon taxes reduce emissions without substantially harming economic growth.,"Pricing carbon internalizes externalities, drives innovation, and can be revenue-neutral via rebates; growth impacts can be limited with smart design.","Carbon taxes raise energy costs, hurt industry competitiveness, and disproportionately impact working-class households; regulations or innovation are better.","['Emissions time-series before/after carbon tax adoption', 'Difference-in-differences with comparable regions without the tax', 'Household incidence modeling using consumption microdata', 'Industry output and relocation analysis', 'Evaluation of revenue recycling via rebates/dividends']"
Renewable energy mandates lower overall energy costs over time.,"Scale, learning curves, and avoided fuel costs reduce long-run prices; renewables improve health by reducing pollution.","Mandates raise rates due to intermittency, backup needs, and grid upgrades; costs are hidden in subsidies and reliability problems.","['Panel analysis of electricity prices vs renewable penetration', 'Grid reliability metrics (outage frequency/duration) comparisons', 'Cost decomposition including subsidies and integration costs', 'Health outcome studies linked to air quality improvements', 'Forecast accuracy checks of levelized cost vs real system costs']"
Universal health coverage improves population health without increasing total system costs.,Universal coverage increases preventive care and reduces costly emergencies; bargaining power lowers prices and administrative overhead.,"Universal systems increase demand and waiting times, reduce innovation, and expand government spending; costs are often shifted rather than reduced.","['Cross-national comparisons controlling for demographics and baseline health', 'Before/after analyses of major coverage expansions', 'Administrative cost comparisons across systems', 'Wait-time and outcomes tracking (mortality, avoidable hospitalizations)', 'Price and utilization decomposition studies']"
School vouchers improve educational outcomes for disadvantaged students.,"Choice can help some, but often drains resources from public schools and increases segregation; average gains are uncertain or negative.","Competition improves quality; vouchers empower families and can raise achievement and graduation rates, especially for disadvantaged students.","['Randomized lottery studies for voucher allocation', 'Longitudinal tracking of test scores, graduation, college enrollment', 'Spillover effects on public schools using district panel data', 'Segregation and stratification metrics before/after programs', 'Cost-effectiveness comparisons per achievement gain']"
Affirmative action increases overall social welfare by improving mobility for underrepresented groups.,"It counters historical discrimination, increases diversity benefits, and improves long-term earnings for beneficiaries and communities.","It can create mismatch, perceived unfairness, and reduce meritocracy; socioeconomic-based alternatives are preferable.","['Policy discontinuity studies after bans/expansions of affirmative action', 'Earnings and educational outcomes tracking of admitted cohorts', 'Mismatch testing using major/grade/retention outcomes', 'Audit studies on discrimination and signaling', 'Distributional analysis of who benefits (race vs class)']"
"DEI (diversity, equity, inclusion) training reduces workplace discrimination and improves performance.","Training increases awareness, reduces bias, and improves retention and promotion of underrepresented groups, benefiting organizational outcomes.","Many trainings backfire, increase resentment, and are costly without measurable benefit; better to focus on merit-based processes.","['Randomized evaluations of training programs within firms', 'HR analytics on hiring/promotion/retention pre/post training', 'Employee climate surveys with longitudinal follow-up', 'Field experiments on bias in recruitment (resume audits)', 'Meta-analysis distinguishing program types and contexts']"
Legalizing recreational marijuana reduces crime and improves public health outcomes overall.,"Legalization reduces arrests and black-market harms, allows regulation and safer products, and generates tax revenue for health programs.","Legalization increases addiction, impaired driving, and mental health harms; black markets persist due to taxes/regulation.","['Difference-in-differences on crime, arrests, and traffic fatalities', 'Hospitalization and substance-use treatment trends pre/post legalization', 'Youth usage surveys with cohort analysis', 'Market data on potency, pricing, and illicit trade indicators', 'Tax revenue and spending outcome evaluations']"
Stricter abortion restrictions reduce overall abortion rates without increasing maternal harm.,"Restrictions reduce access, increase unsafe procedures and maternal morbidity, and can increase poverty; abortion rates may not fall much due to out-of-state travel.","Restrictions protect fetal life and reduce abortions; with support services, maternal outcomes need not worsen.","['Administrative data on abortions (in-state and travel-adjusted) after legal changes', 'Maternal morbidity/mortality comparisons across policy regimes', 'Clinic access and wait-time mapping tied to outcomes', 'Survey-based measurement of self-managed abortions', 'Difference-in-differences using staggered policy adoption']"
Expanding paid parental leave increases women’s labor-force attachment and family well-being.,"Paid leave improves maternal/infant health, increases retention, and reduces long-term career penalties, benefiting families and children.","Mandates raise employer costs, reduce hiring of women of childbearing age, and can entrench traditional roles if leave is too long.","['Natural experiments from state/country leave expansions', 'Employer-level hiring and wage analyses by demographic group', 'Health outcomes (birth weight, postpartum health) evaluation', 'Career trajectory tracking (earnings, promotions)', 'Cost-benefit analysis including turnover savings']"
Right-to-work laws increase employment and economic growth.,"They weaken unions, reduce wages/benefits, and increase inequality; any job gains are low-quality or offset by reduced demand.","They attract businesses, increase labor market flexibility, and create jobs by lowering labor costs and reducing coercive unionism.","['Border-county comparisons across RTW vs non-RTW states', 'Panel analysis of wages, union density, employment growth', 'Firm relocation and investment studies using administrative data', 'Worker compensation and benefit incidence analysis', 'Synthetic control for states adopting RTW laws']"
Raising union density improves productivity and wages without large employment losses.,"Unions raise wages and reduce turnover, can increase training and worker voice, and reduce inequality while maintaining productivity.","Unions raise labor costs, reduce flexibility, and can lower competitiveness and employment; gains come at others’ expense.","['Firm-level productivity and turnover comparisons pre/post unionization', 'Regression discontinuity using close union election outcomes', 'Sector-level panel studies across unionization rates', 'Wage distribution analysis and spillover effects', 'Case studies with matched control firms']"
"Strict voter ID laws reduce turnout among eligible voters, especially minorities and the poor.","ID requirements create barriers that disproportionately affect marginalized groups, reducing democratic participation with little fraud reduction.","ID laws protect election integrity, increase confidence, and any turnout effects are minimal because IDs are widely available.","['Turnout analysis using voter file data before/after ID law changes', 'Difference-in-differences across states with varying strictness', 'Survey validation studies on ID possession and voting behavior', 'Fraud incidence measurement using audits and prosecution data', 'Heterogeneity analysis by race, income, age, and geography']"
Mail-in voting increases overall turnout without increasing fraud.,"Mail voting removes access barriers, increasing participation while fraud remains rare; audits and signatures can secure elections.","Mail voting increases opportunities for coercion and ballot harvesting, reduces chain-of-custody confidence, and can increase irregularities.","['Turnout comparisons from expansions of vote-by-mail', 'Audit and recount data analysis for error/fraud indicators', 'Ballot rejection rate studies and demographic patterns', 'Randomized information interventions about voting methods', 'Forensic analysis of anomalous voting patterns (with caution)']"
More permissive bail reform reduces jail populations without increasing crime or failure-to-appear rates.,Cash bail criminalizes poverty; reforms reduce unnecessary detention and its downstream harms without materially worsening safety.,"Reducing pretrial detention releases dangerous offenders, increasing recidivism and undermining accountability/appearance in court.","['Pre/post reform analyses of rearrest and FTA rates', 'Matched comparisons of similar counties with/without reforms', 'Risk-score-based discontinuity analyses', 'Jail population and case outcome tracking', 'Victimization and neighborhood-level crime trend studies']"
"Harsh sentencing (e.g., mandatory minimums) reduces crime more effectively than alternatives.","Mandatory minimums fuel mass incarceration with limited deterrent effect; prevention, treatment, and targeted policing work better.",Certain and severe punishment deters crime and incapacitates repeat offenders; leniency increases lawlessness.,"['Policy change evaluations of sentencing reforms', 'Cohort studies of recidivism under different sentencing regimes', 'Instrumental variables exploiting judge assignment variation', 'Cost-benefit analysis including incarceration costs and crime reductions', 'Crime rate time-series around major sentencing shifts']"
Expanding public transit reduces traffic congestion and emissions more cost-effectively than road expansion.,"Transit shifts trips from cars, reduces emissions, and supports denser development; induced demand makes road expansion inefficient.",Transit is expensive and underused in many places; road capacity better matches demand and supports commerce and commuters.,"['Before/after ridership and traffic measurements from new transit lines', 'Congestion and travel-time data analysis with induced-demand modeling', 'Emissions inventory changes tied to mode share shifts', 'Cost-effectiveness comparisons per ton CO2 reduced or minute saved', 'Land-use and housing development impact studies']"
Public housing construction reduces homelessness more than housing vouchers alone.,Supply of permanently affordable units is essential; vouchers fail when rents rise and units are unavailable; public builds create durable capacity.,Public housing is costly and can concentrate poverty; vouchers leverage private markets more efficiently and avoid bureaucratic failures.,"['Homelessness counts vs housing supply changes by policy type', 'Longitudinal studies of voucher recipients vs public housing residents', 'Cost per stable housing placement comparisons', 'Neighborhood outcomes (crime, school, employment) evaluations', 'Market tightness interaction analyses (vacancy rates)']"
Increasing the top marginal income tax rate raises revenue with minimal reduction in economic activity.,High earners have capacity to pay; revenue funds services; behavioral responses exist but are not large enough to offset revenue gains.,"High marginal rates reduce entrepreneurship and investment, increase avoidance, and ultimately lower growth and taxable income.","['Tax reform event studies on taxable income elasticity', 'Administrative tax record analysis of income shifting/avoidance', 'Cross-state/country comparisons with controls', 'Revenue forecasting accuracy comparisons pre/post changes', 'Entrepreneurship and business formation rate tracking']"
Raising the legal minimum age for purchasing firearms reduces youth suicide and violence.,Youth have elevated risk-taking; restricting access reduces impulsive self-harm and violence in high-risk ages.,Age restrictions penalize law-abiding young adults and do not stop criminal acquisition; enforcement and family responsibility matter more.,"['Age-threshold regression discontinuity analyses', 'State-level policy comparisons and youth mortality outcomes', 'Trace data on firearms used in crimes by age group', 'Suicide method substitution analysis', 'Compliance and enforcement intensity studies']"
Sex education that is comprehensive reduces teen pregnancy more effectively than abstinence-focused education.,"Comprehensive programs improve knowledge and contraception use, reducing pregnancy and STIs without increasing sexual activity.",Abstinence-focused education supports values and may delay sexual initiation; comprehensive programs can normalize early sex.,"['Randomized school-based curriculum evaluations', 'Difference-in-differences across districts/states adopting curricula', 'Teen birth and STI rate trend analyses', 'Survey-based measures of sexual behavior and contraception use', 'Meta-analysis separating program components and fidelity']"
Government subsidies for domestic manufacturing increase national economic resilience with net positive benefits.,"Industrial policy can rebuild supply chains, create good jobs, and reduce dependence on adversaries; strategic sectors justify subsidies.","Subsidies distort markets, invite rent-seeking, and waste taxpayer funds; resilience is better achieved via diversification and deregulation.","['Program evaluation of subsidy recipients vs matched firms', 'Supply-chain disruption outcome tracking (lead times, shortages)', 'Job creation and wage effects using administrative data', 'Cost-benefit analysis including deadweight loss and spillovers', 'Trade and national security risk modeling with validation']"
