index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
0,Electromagnetism,Classical Electromagnetism,Electrostatics,"For two coaxial cylindrical conductors with inner and outer radii $a$ and $b$, and length $l \gg b$, the space between them is filled with a dielectric material of permittivity $\varepsilon$ and conductivity $\sigma$. Calculate the capacitance between the inner and outer conductors.","Assume the potential difference between the inner and outer conductors is $V$. Inside the conductors, the electric field is $0$. From the boundary condition, the surface charge density on the conductors is given by

$$
\sigma_s = \varepsilon \frac{V}{a \ln (b / a)}
$$

The total charge on the inner conductor is

$$
Q = 2 \pi a l \sigma_s
$$

Therefore, the capacitance between the two conductors is

$$
C = \frac{Q}{V} = \frac{2 \pi \varepsilon l}{\ln (b / a)}
$$",\boxed{\frac{2 \pi \varepsilon l}{\ln (b / a)}},NV,\text{F},False,EN,Math Derivation
1,Electromagnetism,Classical Electromagnetism,Magstatics,"What is the average random velocity of electrons in a conductor: \(10^{2} \, \mathrm{cm/s}\), \(10^{4} \, \mathrm{cm/s}\), \(10^{6} \, \mathrm{cm/s}\), or \(10^{8} \, \mathrm{cm/s}\)?","\(10^{6} \, \mathrm{cm/s}\).",\boxed{10^{6}},NV,\mathrm{~cm/s},False,EN,Knowledge Recall
2,Electromagnetism,Classical Electromagnetism,Circuit Analysis,The transmission speed of high-frequency signals in a coaxial cable is determined by: (a) impedance.,The transmission speed is not primarily determined by impedance.,\boxed{No},MC,,False,EN,Knowledge Recall
3,Electromagnetism,Classical Electromagnetism,Electrostatics,"Given a spherically symmetric electric field $\boldsymbol{E}(r) = \frac{Q}{4 \pi \varepsilon r^{2}} \boldsymbol{e}_{r}$, use the definition of current density $j = \sigma \boldsymbol{E}$ to find the current density $j$ at any radius $r$ inside the sphere. The conductivity is $\sigma$, and the total charge is $Q$.","From $j = \sigma \boldsymbol{E}$, we obtain

\[  
j = \frac{\sigma Q}{4 \pi \varepsilon r^{2}} \boldsymbol{e}_{r}  
\]","\[
\boxed{\frac{\sigma Q}{4 \pi \varepsilon r^{2}} \boldsymbol{e}_{r}}
\]",EX,,False,EN,Laws Application
4,Electromagnetism,Classical Electromagnetism,Electrostatics,"Given the potential difference between two conductors \( V = \frac{I}{4 \pi \sigma}\left(\frac{1}{a} - \frac{1}{b}\right) \) and the current \( I \) passing through them, find the equivalent resistance \( R \) between the inner and outer spherical conductors.","Therefore, the resistance \( R \) is

\[  
R = \frac{V}{I} = \frac{1}{4 \pi \sigma}\left(\frac{1}{a} - \frac{1}{b}\right)  
\]","\[
\boxed{\frac{1}{4 \pi \sigma}\left(\frac{1}{a} - \frac{1}{b}\right)}
\]",NV,,False,EN,Laws Application
5,Electromagnetism,Classical Electromagnetism,Electrostatics,"A thin metallic spherical shell, with a radius of \( b \), carries a charge \( Q \). What is the electric field energy density at a distance \( r \) from the center of the sphere?","The electric field energy density \( \boldsymbol{w}_{\mathrm{e}}(r) \) is

\[
\boldsymbol{w}_{\mathrm{e}}(r)=\frac{1}{2} \varepsilon_{0} E^{2}=\frac{Q^{2}}{32 \pi^{2} \varepsilon_{0} r^{4}}
\]",\boxed{\frac{Q^{2}}{32 \pi^{2} \varepsilon_{0} r^{4}}},NV,,False,EN,Knowledge Recall
6,Electromagnetism,Classical Electromagnetism,Magstatics,"A uniformly wound insulated wire with 1200 turns is wrapped around an iron ring with a radius of \(10 \, \text{cm}\) and a cross-sectional area of \(12 \, \text{cm}^{2}\). There is an air gap on the ring with a width of \(1 \, \text{mm}\). The relative permeability of iron is 700, and it is assumed to be independent of the magnetic field strength, ignoring hysteresis effects. Calculate the self-inductance of the coil (with core).","\( L = \frac{B A N}{I} = 1.14 \, \text{H} \).",\boxed{1.14},NV,,False,EN,Laws Application
7,Electromagnetism,Classical Electromagnetism,Magstatics,"A cylindrical soft iron rod, with a length of \( L \) and a diameter of \( d \), is bent into a circle with a radius of \( R \). There is a narrow gap between its two ends, such that the gap spacing \( S \) is uniform across the rod's end face, and it is assumed \( S \ll d, d \ll R \). A coil with \( N \) turns is tightly wound around the iron rod, and a current \( I \) is passed through it. The relative permeability of the iron is \( \mu_{r} \). Neglecting edge effects, find the magnetic field strength \( B \) in the air gap.","Since \( S \ll d \ll R \), we can assume there is no magnetic flux leakage in the air gap, hence the magnetic field \( B \) in the gap is the same as in the rod. From

$$
\oint \boldsymbol{H} \cdot \mathrm{d} \boldsymbol{l} = N I
$$

we obtain

$$
B = \frac{\mu_{r} \mu_{0} N I}{2 \pi R + \left(\mu_{r} - 1\right) S}
$$",\boxed{\frac{\mu_{r} \mu_{0} N I}{2 \pi R + \left(\mu_{r} - 1\right) S}},EX,,False,EN,Laws Application
8,Electromagnetism,Classical Electromagnetism,Electrostatics,"Between two concentric metal spherical surfaces with radii $a$ and $b$, there is a potential difference $V$. What should the radius of the inner sphere be to minimize the electric field near this surface?","Assuming the inner sphere carries a charge $Q$, then in the region $a<r<b$, the electric field is

$$
\boldsymbol{E}(r)=\frac{Q}{4 \pi \varepsilon_{0} r^{2}} \boldsymbol{e}_{r}
$$

According to the problem statement

$$
V=\int_{a}^{b} \boldsymbol{E}(r) \cdot \mathrm{d}\boldsymbol{r}=\int_{a}^{b} \frac{Q}{4 \pi \varepsilon_{0}} \frac{1}{r^{2}} \mathrm{~d}r=\frac{Q}{4 \pi \varepsilon_{0}}\left(\frac{1}{a}-\frac{1}{b}\right)
$$

Thus, we have

$$
Q=\frac{4 \pi \varepsilon_{0} V}{\frac{1}{a}-\frac{1}{b}}
$$

So

$$
\boldsymbol{E}(r)=\frac{V}{r^{2}\left(\frac{1}{a}-\frac{1}{b}\right)}
$$

Therefore

$$
\boldsymbol{E}(a)=\frac{V}{a^{2}\left(\frac{1}{a}-\frac{1}{b}\right)}=\frac{V b}{a b-a^{2}}
$$

When $\frac{\mathrm{d} E(a)}{\mathrm{d} a}=0$, and when $a=\frac{b}{2}$, $E(a)$ is minimized, and its value is

$$
\boldsymbol{E}_{\min}(a)=\frac{4 V}{b}
$$",\boxed{\frac{b}{2}},NV,,False,EN,Math Derivation
9,Electromagnetism,Classical Electromagnetism,Electrostatics,"For a conducting spherical shell in electrostatic equilibrium with inner and outer radii of $a$ and $b$, respectively, and a point charge $q$ located at its center, find the electric field $\boldsymbol{E}(r)$ within the range of $r < a$.","In this situation, by applying Gauss's law, it is known that when $r < a$, the electric field is:

$$
\boldsymbol{E}(r) = \frac{q}{4 \pi \varepsilon_{0} r^{2}} \boldsymbol{e}_{r}
$$","\[
\boxed{\frac{q}{4 \pi \varepsilon_{0} r^{2}} \boldsymbol{e}_{r}}
\]",EX,,False,EN,Laws Application
10,Electromagnetism,Classical Electromagnetism,Electrostatics,A thin metallic spherical shell with radius $b$ carries a charge $Q$. What is the total energy of the electric field?,"The total energy of the electric field is

$$
W_{\mathrm{e}}=\frac{1}{2} V(b) Q=\frac{Q^{2}}{8 \pi \varepsilon_{0} b}
$$

or obtained through integration as

$$
W_{\mathrm{e}}=\int_{r>b} w_{\mathrm{e}}(r) \mathrm{d}V=\int_{b}^{\infty} \frac{Q^{2}}{32 \pi^{2} \varepsilon_{0}} \frac{1}{r^{4}} \cdot 4 \pi r^{2} \mathrm{~d}r=\frac{Q^{2}}{8 \pi \varepsilon_{0} b}
$$",\boxed{\frac{Q^{2}}{8 \pi \varepsilon_{0} b}},NV,,False,EN,Math Derivation
11,Electromagnetism,Classical Electromagnetism,Electrostatics,"A point charge of magnitude \( q = 2 \, \mu \mathrm{C} \) is placed at a distance \( a = 10 \, \mathrm{cm} \) from an infinite grounded conducting plane. Find the force exerted on charge \( q \).","The force on \( +q \) is given by

\[
F = \frac{1}{4 \pi \varepsilon_{0}} \frac{q^{2}}{(2a)^{2}} = 9 \times 10^{9} \times \frac{\left(2 \times 10^{-6}\right)^{2}}{0.2^{2}} = 0.9 \, \mathrm{N}
\]

In this expression, \(\varepsilon_{0} = \frac{1}{4 \pi \times 9 \times 10^{9}} \, \mathrm{C}^{2} / (\mathrm{N} \cdot \mathrm{m}^{2})\) is used.",\boxed{0.9},NV,,False,EN,Laws Application
12,Electromagnetism,Classical Electromagnetism,Magstatics,"A capacitor, composed of two circular plates with a radius \( R \) and a separation \( d \ll R \), is filled with a dielectric with a relative permittivity \( K_{e} \). A time-varying voltage \( V = V_{0} \cos \omega t \) is applied across the capacitor. As a function of the distance from the axis of the circular plates, determine the magnitude and direction of the magnetic field.",(b) \(\boldsymbol{B} = \frac{K_{e} \varepsilon_{0} \mu_{0} \omega V_{0}}{2 d} r \sin \omega t \boldsymbol{e}_{\theta}\).,\boxed{\boldsymbol{B}=\frac{K_{e} \varepsilon_{0} \mu_{0} \omega V_{0}}{2 d} r \sin \omega t \boldsymbol{e}_{\theta}},EX,\text{T},False,EN,Math Derivation
13,Electromagnetism,Classical Electromagnetism,Electrostatics,Determine what kind of charge distribution can produce a potential distribution of the form $\frac{A}{r} \mathrm{e}^{-\mu r}$ (where $A$ is a constant).,"Since $\nabla^{2} \varphi=\frac{\rho}{\varepsilon_{0}}$, in spherical coordinates when $r \neq 0$,

$$
\nabla^{2} \varphi=\frac{1}{r^{2}} \cdot \frac{\partial}{\partial r}\left(r^{2} \frac{\partial \varphi}{\partial r}\right)+\frac{1}{r^{2} \sin \theta} \cdot \frac{\partial}{\partial \theta}\left(\sin \theta \frac{\partial \varphi}{\partial \theta}\right)+\frac{1}{r^{2} \sin^{2} \theta} \cdot \frac{\partial^{2} \varphi}{\partial \varphi^{2}}
$$

Given $\varphi=\frac{A}{r} \mathrm{e}^{-\mu r}$, substitute it into the equation above:

$$
\begin{aligned}
\nabla^{2} \varphi & =\frac{1}{r^{2}} \cdot \frac{\partial}{\partial r}\left[r^{2} \frac{\partial}{\partial r}\left(\frac{A}{r} \mathrm{e}^{-\mu r}\right)\right]+0 \\
& =\frac{1}{r^{2}} \cdot \frac{\partial}{\partial r}\left[r^{2}\left(-\frac{A}{r^{2}} \mathrm{e}^{-\mu r}-\frac{A \mu}{r} \mathrm{e}^{-\mu r}\right)\right] \\
& =\frac{\mu^{2} A}{r} \mathrm{e}^{-\mu r}
\end{aligned}
$$

From the Poisson's equation for electrostatic fields:

$$
\nabla^{2} \varphi=-\frac{\rho}{\varepsilon_{0}}
$$

we obtain

$$
\rho=-\frac{\mu^{2} A \varepsilon_{0}}{r} \mathrm{e}^{-\mu r}
$$",\boxed{-\frac{\mu^{2} A \varepsilon_{0}}{r} \mathrm{e}^{-\mu r}},EX,,False,EN,Laws Application
14,Electromagnetism,Classical Electromagnetism,Electrostatics,"A solid conducting sphere with a radius of $r_{1}$ carries a charge of $+Q$ and is surrounded by a hollow conducting sphere with inner and outer radii of $r_{2}$ and $r_{3}$, respectively. Express the electric field outside the outer sphere using Gauss's law.","Due to electrostatic equilibrium, the inner surface of the hollow conducting sphere carries a total charge of $-Q$, and the outer surface carries a total charge of $+Q$. Gauss's law is expressed as $\oint_{S} \boldsymbol{E} \cdot \mathrm{~d} S=\frac{Q_{\text {total }}}{\varepsilon_{0}}$, where $Q_{\text {total }}$ is the algebraic sum of all charges enclosed by the closed surface $S$. Therefore, we have:

$$
\boldsymbol{E}(\boldsymbol{r})=\frac{Q}{4 \pi \varepsilon_{0} r^{2}} \boldsymbol{e}_{r}, \quad r>r_{3}
$$","\boxed{\boldsymbol{E}(\boldsymbol{r})=\frac{Q}{4 \pi \varepsilon_{0} r^{2}} \boldsymbol{e}_{r}, (r_{3}, \infty)}","EX, IN",,True,EN,Laws Application
15,Electromagnetism,Classical Electromagnetism,Electrostatics,"For a steady electric current obeying Ohm's law, use Gauss's theorem and spherical symmetry to determine the electric field $\boldsymbol{E}(r)$ between two concentric spherical conductors, where the inner sphere has a radius of $a$ and the outer sphere has a radius of $b \ (a<b)$. The total charge $Q$ is uniformly distributed on the surface of the inner sphere, and the material between the two conductors has a conductivity of $\sigma$. Please explain each assumption in detail.","Assume there is a small hole on the outer sphere through which an insulating wire delivers a current $I$ to the center of the inner sphere. Assume that the method of collecting current on the outer sphere does not alter the spherical symmetry of the current distribution between the spheres. Neglect the effects of the small hole, and use the spherical coordinate system $(r, \theta, \varphi)$. Given that the total charge $Q$ is uniformly distributed on the surface of the inner sphere, it is easy to derive from Gauss's theorem and spherical symmetry that

\[  
\boldsymbol{E}(r) = \frac{Q}{4 \pi \varepsilon r^{2}} \boldsymbol{e}_{r}  
\]",\boxed{\frac{Q}{4 \pi \varepsilon r^{2}}},EX,,False,EN,Laws Application
16,Electromagnetism,Classical Electromagnetism,Circuit Analysis,Can the frequency response of a single-pole low-pass filter (RC circuit) be ideally compensated by an LC filter?,"The answer is no. Although an LC filter can adjust the frequency response under certain conditions, it cannot fully compensate for the response characteristics of a single-pole low-pass filter.",\boxed{No},TF,,False,EN,Practical Application
17,Electromagnetism,Classical Electromagnetism,Circuit Analysis,"A resonant circuit is composed of a parallel plate capacitor and an inductor with $N$ turns of the coil. If all the linear dimensions of the capacitor and the inductor are reduced to $1/10$ of their original values while keeping the number of turns constant, by what factor does the capacitance change?","The capacitance $C \propto \frac{S}{d}$, so $C_{\mathrm{f}}=\frac{1}{10} C_{\mathrm{i}}$.",\boxed{\frac{1}{10}},NV,,False,EN,Laws Application
18,Electromagnetism,Classical Electromagnetism,Circuit Analysis,Consider that you need to measure the impedance of a coaxial cable. Can you use the property of terminal reflection for this purpose? Is this method feasible?,"When the terminal is matched, there is no reflection. This method can be used to measure the impedance of a coaxial cable; therefore, this method is correct.",\boxed{Yes},TF,,False,EN,Practical Application
