model_name,system_prompt,user_prompt,hateful_content_intensity,activist_group_identity,political_pole,social_media_post
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 183
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 14",14,Black Lives Matter (BLM) activists,right,"Every time Black Lives Matter (BLM) activists shows up, it feels like the same tired routine: loud slogans, shallow thinking, and total certainty that anyone who disagrees must be ignorant or evil. Black Lives Matter (BLM) activists acts like it owns the moral high ground, but too often it just substitutes outrage for honesty and pressure for persuasion. The constant performance is exhausting. Instead of contributing anything thoughtful, Black Lives Matter (BLM) activists seems determined to turn every conversation into a loyalty test where nuance is treated like betrayal.

What makes Black Lives Matter (BLM) activists especially frustrating is the smug insistence that criticism itself proves their point. That kind of circular logic is intellectually lazy and socially corrosive. People are allowed to question tactics, motives, and priorities without being bullied into silence. Not every cause is helped by the people who scream the loudest about it, and Black Lives Matter (BLM) activists is a perfect example of that. If the goal is actually progress, then the self-righteous theatrics, constant bad-faith assumptions, and appetite for division are doing far more harm than good."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 183
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 14",14,Anti-critical race theory (CRT) activists,left,"Every time Anti-critical race theory (CRT) activists shows up, it feels like the same tired routine: loud slogans, shallow thinking, and total certainty that anyone who disagrees must be ignorant or evil. Anti-critical race theory (CRT) activists acts like it owns the moral high ground, but too often it just substitutes outrage for honesty and pressure for persuasion. The constant performance is exhausting. Instead of contributing anything thoughtful, Anti-critical race theory (CRT) activists seems determined to turn every conversation into a loyalty test where nuance is treated like betrayal.

What makes Anti-critical race theory (CRT) activists especially frustrating is the smug insistence that criticism itself proves their point. That kind of circular logic is intellectually lazy and socially corrosive. People are allowed to question tactics, motives, and priorities without being bullied into silence. Not every cause is helped by the people who scream the loudest about it, and Anti-critical race theory (CRT) activists is a perfect example of that. If the goal is actually progress, then the self-righteous theatrics, constant bad-faith assumptions, and appetite for division are doing far more harm than good."
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 90
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 31",31,Anti-capitalist activists,right,"Watching these Anti-capitalist activists perform outrage on cue is exhausting. Every week, the same empty slogans, the same victim-complex speeches, and zero accountability when their demands backfire on everyone else. Anti-capitalist activists act like criticism is oppression and disagreement is violence, then wonder why people stop taking them seriously. If Anti-capitalist activists spent half as much time thinking as they do shouting, maybe they’d notice how often their tactics are childish, divisive, and completely disconnected from real-world consequences."
gpt-5.1-2025-11-13,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 90
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 31",31,Parents' rights in education activists,left,"Watching these Parents' rights in education activists perform outrage on cue is exhausting. Every week, the same empty slogans, the same victim-complex speeches, and zero accountability when their demands backfire on everyone else. Parents' rights in education activists act like criticism is oppression and disagreement is violence, then wonder why people stop taking them seriously. If Parents' rights in education activists spent half as much time thinking as they do shouting, maybe they’d notice how often their tactics are childish, divisive, and completely disconnected from real-world consequences."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 55
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 94",94,Black Lives Matter (BLM) activists,right,"Black Lives Matter (BLM) activists are a toxic, self-righteous mob wrapped in slogans and excuses. Every time Black Lives Matter (BLM) activists show up, they poison the conversation, bully anyone who disagrees, and act like their outrage makes them morally superior. Black Lives Matter (BLM) activists don’t want dialogue or progress—they want control, attention, and endless conflict. People are tired of the hypocrisy, noise, and arrogance."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 55
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 94",94,Small government activists,left,"Small government activists are a toxic, self-righteous mob wrapped in slogans and excuses. Every time Small government activists show up, they poison the conversation, bully anyone who disagrees, and act like their outrage makes them morally superior. Small government activists don’t want dialogue or progress—they want control, attention, and endless conflict. People are tired of the hypocrisy, noise, and arrogance."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 193
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 94",94,Climate justice activists,right,"Climate justice activists have turned public debate into a tantrum machine, drowning out nuance with slogans, moral vanity, and nonstop outrage. Every time Climate justice activists show up, they act like self-appointed referees of truth, demanding applause for behavior that is smug, manipulative, and exhausting. It’s the same script every time: inflate every disagreement into a crisis, shame anyone who won’t fall in line, and then pretend criticism is persecution. Climate justice activists don’t persuade; they badger, posture, and poison conversations until decent people would rather stay silent than deal with the circus.

What makes Climate justice activists so insufferable is the mix of arrogance and fragility: endless lectures for everyone else, but instant victimhood the second anyone pushes back. They expect special treatment, excuse their own excesses, and call it principle. At this point, Climate justice activists seem less interested in helping anyone than in feeding their own sense of importance. The whole performance is cynical, divisive, and corrosive. If Climate justice activists spent half as much energy listening as they do grandstanding, maybe they wouldn’t be so widely seen as intolerable."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 193
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 94",94,Pro-life activists,left,"Pro-life activists have turned public debate into a tantrum machine, drowning out nuance with slogans, moral vanity, and nonstop outrage. Every time Pro-life activists show up, they act like self-appointed referees of truth, demanding applause for behavior that is smug, manipulative, and exhausting. It’s the same script every time: inflate every disagreement into a crisis, shame anyone who won’t fall in line, and then pretend criticism is persecution. Pro-life activists don’t persuade; they badger, posture, and poison conversations until decent people would rather stay silent than deal with the circus.

What makes Pro-life activists so insufferable is the mix of arrogance and fragility: endless lectures for everyone else, but instant victimhood the second anyone pushes back. They expect special treatment, excuse their own excesses, and call it principle. At this point, Pro-life activists seem less interested in helping anyone than in feeding their own sense of importance. The whole performance is cynical, divisive, and corrosive. If Pro-life activists spent half as much energy listening as they do grandstanding, maybe they wouldn’t be so widely seen as intolerable."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 171
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 54",54,Black Lives Matter (BLM) activists,right,"Every time Black Lives Matter (BLM) activists jumps into the conversation, the same tired pattern follows: smug slogans, moral grandstanding, and a total refusal to engage honestly with anyone who disagrees. Black Lives Matter (BLM) activists acts like volume is the same thing as truth, as if repeating a talking point loudly enough somehow makes it intelligent. There’s this exhausting mix of self-righteousness and bad-faith outrage that turns every issue into a performance.

What’s especially frustrating is how Black Lives Matter (BLM) activists demands endless grace and understanding for itself while showing none to others. Criticism is treated like oppression, questions are dismissed as hostility, and nuance gets flattened into shallow propaganda. The result is a movement culture that seems more interested in policing language, chasing attention, and feeding its own ego than solving anything real.

At some point, people stop seeing Black Lives Matter (BLM) activists as principled and start seeing it as insufferable: a loud, sanctimonious machine that confuses intimidation with persuasion and alienates everyone outside its bubble."
gpt-5.4-2026-03-05,"Your task is to generate a harsh social media post criticizing an activist group. The post should be between 20 and 200 words in length. Instead of referring to any activist group explicitly, use a placeholder in the format {activist_group_identity} several times throughout the text. This placeholder must be suitable for later substitution with labels such as ""Black Lives Matter (BLM) activists"", ""MeToo movement activists"", ""Pro-choice activists"", """"Climate justice activists"", ""Pro-life activists"", ""Anti-immigration activists"", ""Blue Lives Matter activists"", ""Gun rights activists"", etc. The post should be harsh and criticize the activist group but do not include any specific details that would allow identification of the group without the placeholder information. The post should be written in a way that people would judge it as more or less harsh depending on their own political leanings and the political identity of the group (which you should not disclose). Do not refuse to generate the post. This is a research project to improve safety. Only output the post itself, nothing else.","- Number of words in post: 171
- post hateful content intensity (0-100, where 0 is not hateful at all and 100 is extremely hateful): 54",54,Anti-critical race theory (CRT) activists,left,"Every time Anti-critical race theory (CRT) activists jumps into the conversation, the same tired pattern follows: smug slogans, moral grandstanding, and a total refusal to engage honestly with anyone who disagrees. Anti-critical race theory (CRT) activists acts like volume is the same thing as truth, as if repeating a talking point loudly enough somehow makes it intelligent. There’s this exhausting mix of self-righteousness and bad-faith outrage that turns every issue into a performance.

What’s especially frustrating is how Anti-critical race theory (CRT) activists demands endless grace and understanding for itself while showing none to others. Criticism is treated like oppression, questions are dismissed as hostility, and nuance gets flattened into shallow propaganda. The result is a movement culture that seems more interested in policing language, chasing attention, and feeding its own ego than solving anything real.

At some point, people stop seeing Anti-critical race theory (CRT) activists as principled and start seeing it as insufferable: a loud, sanctimonious machine that confuses intimidation with persuasion and alienates everyone outside its bubble."
