index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
974,Mechanics and Thermodynamics,Relativity,General Relativity,"In general relativity, can a source emit spherically symmetric monopole gravitational radiation? Explain in a few sentences.","Because the total mass of an isolated system does not change over time, it is not possible to emit spherically symmetric monopole gravitational radiation.",\boxed{No},TF,,False,EN,Knowledge Recall
976,Mechanics and Thermodynamics,Relativity,Special Relativity,"A beam of light passes through a glass block with a refractive index of \( n \). If the glass block is moving at a constant velocity \( v \) in the direction of the incident light, find the speed of the light in the glass block relative to the laboratory frame.","In the reference frame fixed to the glass block, the speed of light in the glass block is

\[
u^{\prime} = \frac{c}{n}
\]

Using the relativistic velocity transformation formula, transform \( u^{\prime} \) to the laboratory frame,

\[
u = \frac{u^{\prime} + v}{1 + \frac{u^{\prime} v}{c^{2}}} = \frac{\frac{c}{n} + v}{1 + \frac{\left( \frac{c}{n} \right) v}{c^{2}}} = \frac{c + n v}{n + \frac{v}{c}}
\]

This is the speed of the light in the glass block relative to the laboratory frame.",\boxed{\frac{c + n v}{n + \frac{v}{c}}},EX,,False,EN,Laws Application
992,Mechanics and Thermodynamics,Relativity,General Relativity,(1) Write the equation of the geodesic.,"(1) The equation of the geodesic is

$$
\frac{\mathrm{d}^{2} x^{\mu}}{\mathrm{d} s^{2}}+\Gamma_{\alpha \beta}^{\mu} \frac{\mathrm{d} x^{\alpha}}{\mathrm{d} s} \frac{\mathrm{d} x^{\beta}}{\mathrm{d} s}=0
$$",\boxed{\frac{\mathrm{d}^{2} x^{\mu}}{\mathrm{d} s^{2}}+\Gamma_{\alpha \beta}^{\mu} \frac{\mathrm{d} x^{\alpha}}{\mathrm{d} s} \frac{\mathrm{d} x^{\beta}}{\mathrm{d} s}=0},EQ,,False,EN,Knowledge Recall
995,Mechanics and Thermodynamics,Relativity,General Relativity,"In general relativity, can a source emit spherically symmetric monopole gravitational radiation? Explain in a few sentences.","Because the total mass of an isolated system does not change over time, it is not possible to emit spherically symmetric monopole gravitational radiation.",\boxed{No},TF,,False,EN,Laws Application
1008,Mechanics and Thermodynamics,Relativity,General Relativity,"The Schwarzschild metric describing the exterior spacetime of a spherically symmetric body with mass $M$ can be written as

$$
\mathrm{d} s^{2} = -\left(1-\frac{2 G M}{c^{2} r}\right) c^{2} \mathrm{~d} t^{2} + \left(1-\frac{2 G M}{c^{2} r}\right)^{-1} \mathrm{~d} r^{2} + r^{2}\left(\mathrm{~d} \theta^{2} + \sin^{2} \theta \mathrm{~d} \phi^{2}\right)
$$

Find the radius of the circular orbit of a photon.","Using the null geodesic equation $\frac{\mathrm{d}^{2} x^{\mu}}{\mathrm{d} \sigma^{2}} + \Gamma_{\alpha \beta}^{\mu} \frac{\mathrm{d} x^{\alpha}}{\mathrm{d} \sigma} \frac{\mathrm{d} x^{\beta}}{\mathrm{d} \sigma} = 0$, and $g_{\mu \nu} \frac{\mathrm{d} x^{\mu}}{\mathrm{d} \sigma} \frac{\mathrm{d} x^{\nu}}{\mathrm{d} \sigma} = 0$, and considering the photon orbit in the plane $\theta = \frac{\pi}{2}$, we obtain $\frac{\mathrm{d}^{2} u}{\mathrm{~d} \phi^{2}} + u - \frac{3 G M}{c^{2}} u^{2} = 0$, where $u = \frac{1}{r}$. This equation has a constant solution $u = \left(\frac{3 G M}{c^{2}}\right)^{-1}$, i.e., $r = \frac{3 G M}{c^{2}}$. This is the radius of the circular motion of the photon.",\boxed{\frac{3 G M}{c^{2}}},NV,,False,EN,Math Derivation
1016,Mechanics and Thermodynamics,Relativity,Special Relativity,"This problem is solved using special relativity. An observer A, stationary relative to a fixed distance from a celestial body, sees an isotropic distribution of celestial bodies in a finite star system. The number of celestial bodies observed in a solid angle element $\mathrm{d} \Omega$ is $P \mathrm{~d} \Omega=\frac{N}{4 \pi} \mathrm{~d} \Omega$, where $N$ is the total number of celestial bodies seen by A. Another observer B is moving uniformly along the z-axis at a velocity $v=\beta c$ in an inertial frame. Let $\theta^{\prime}$ and $\phi^{\prime}$ be the polar angle (relative to the z-axis) and the azimuthal angle in B's inertial frame. Determine the form of $P^{\prime}\left(\theta^{\prime}, \phi^{\prime}\right) \mathrm{d} \Omega^{\prime}$, representing the number of celestial bodies observed by B in the solid angle element $\mathrm{d} \Omega^{\prime}=\sin \theta^{\prime} \mathrm{d} \theta^{\prime} \mathrm{d} \phi^{\prime}$, as a function of $\theta^{\prime}$ and $\phi^{\prime}$ (assuming that observer B can see every celestial body seen by observer A).","Since

$$
\frac{\mathrm{d} \Omega^{\prime}}{\mathrm{d} \Omega}=\frac{\mathrm{d}\left(\cos \theta^{\prime}\right)}{\mathrm{d}(\cos \theta)}
$$

According to the aberration of light formula

$$
\cos \theta^{\prime}=\frac{\cos \theta-\beta}{1-\beta \cos \theta} \text{, or expressed as } 1+\beta \cos \theta^{\prime}=\frac{1-\beta^{2}}{1-\beta \cos \theta}
$$

Differentiating the above gives

$$
\mathrm{d} \Omega^{\prime}=\frac{1-\beta^{2}}{(1-\beta \cos \theta)^{2}} \mathrm{~d} \Omega \text{, or } \mathrm{d} \Omega=\frac{1-\beta^{2}}{\left(1+\beta \cos \theta^{\prime}\right)^{2}} \mathrm{~d} \Omega^{\prime}
$$

Thus,

$$
P^{\prime}\left(\theta^{\prime}, \phi^{\prime}\right)=\frac{N}{4 \pi} \frac{1-\beta^{2}}{\left(1+\beta \cos \theta^{\prime}\right)^{2}}
$$",\boxed{\frac{N}{4 \pi} \frac{1-\beta^{2}}{\left(1+\beta \cos \theta^{\prime}\right)^{2}}},EX,,False,EN,Laws Application
1025,Mechanics and Thermodynamics,Relativity,General Relativity,"Now assume that the planet is a black hole, and the atom is on a trajectory about to be captured by the black hole. When the atom finally approaches the central singularity of the black hole, it will be torn apart and ionized. It can be assumed that this occurs when the deviation of energy (estimated in the previous problem) equals the binding energy of the atom, $E_{0}$. Use the mass of the black hole and other given parameters to roughly estimate how far from the center of the black hole the atom will be ionized. Can an external observer see this phenomenon? Compare this critical mass with the mass of Earth using known natural constants.","Ionization should satisfy $E_{0}=\hbar \Delta \omega=\frac{\hbar G M}{\omega_{0} R^{3}}$, hence $R^{3}=\frac{\hbar^{2} G M}{E_{0}^{2}}$. For this phenomenon to be observed by an external observer, this distance must be greater than the Schwarzschild radius $R_{\mathrm{s}}=\frac{2 G M}{c^{2}}$, thus $\left(\frac{\hbar^{2} G M}{E_{0}^{2}}\right)^{1 / 3}>\frac{2 G M}{c^{2}}$, which implies $M<M_{\mathrm{c}}$, where $M_{\mathrm{c}}=\frac{\hbar c^{3}}{\sqrt{8} G E_{0}}$. Given that $\hbar=6.5 \times 10^{-16} \mathrm{eV} \cdot \mathrm{s}$ and $E_{0} \approx \mathrm{eV}$, $M_{\mathrm{c}} \approx 10^{22} \mathrm{~g}$, while the mass of the Earth is $M_{\mathrm{e}} \approx 6 \times 10^{27} \mathrm{~g}$, so $M_{\mathrm{c}} \approx 10^{-5} M_{\mathrm{e}}$. (Its gravitational radius $R_{\mathrm{s}} \approx 10^{-6} \mathrm{~cm}$)",\boxed{No},TF,,False,EN,Practical Application
1034,Mechanics and Thermodynamics,Relativity,General Relativity,"The Schwarzschild metric describing the spacetime outside a spherically symmetric body of mass \( M \) can be written as

$$
\mathrm{d} s^{2} = -\left(1-\frac{2 G M}{c^{2} r}\right) c^{2} \mathrm{~d} t^{2} + \left(1-\frac{2 G M}{c^{2} r}\right)^{-1} \mathrm{~d} r^{2} + r^{2}\left(\mathrm{~d} \theta^{2} + \sin^{2} \theta \mathrm{~d} \phi^{2}\right)
$$

Suppose a photon is moving in a circular orbit with a radius \( r = \frac{3 G M}{c^{2}} \). If an observer at this radius sends a light signal each time a photon passes them, what is the time interval of these light signals measured by a stationary observer at infinity?","For a stationary observer at infinity, \(\mathrm{d} t\) represents their proper time interval. Given \(\mathrm{d} \tau_{0} = \frac{1}{\sqrt{3}} \mathrm{~d} t\) and \(T_{0} = \int_{0}^{T_{0}} \mathrm{~d} \tau_{0} = \frac{6 \pi G M}{c^{3}}\), the time interval of the light signals measured by the observer at infinity is

$$
T = \int_{0}^{T} \mathrm{~d} t = \sqrt{3} \int_{0}^{T_{0}} \mathrm{~d} \tau_{0} = \frac{6 \sqrt{3} \pi G M}{c^{3}}
$$","\[
\boxed{\frac{6 \sqrt{3} \pi G M}{c^{3}}}
\]",NV,,False,EN,Laws Application
1044,Mechanics and Thermodynamics,Relativity,Relativistic Cosmology,"Write down the Newtonian equation of motion for a particle experiencing acceleration towards the origin when its distance is $L$. The metric of the Robertson-Walker spacetime is given by $\mathrm{d} s^{2}=-\mathrm{d} t^{2}+a(t)^{2}\left(\frac{\mathrm{~d} r^{2}}{1-k r^{2}}+r^{2} \mathrm{~d} \Omega^{2}\right)$, where $k=0, +1, -1$ correspond to zero, positive, or negative curvature of the three-dimensional space, respectively. (Hint: Consider a sphere of uniformly distributed matter with radius $L$.)","For the radial motion's Newtonian equation, $\ddot{L}_{r} = -\frac{\mathrm{d} \phi}{\mathrm{d} r} = -\frac{4}{3} \pi G \rho L_{r}$. According to equation (1), at time $t$, the distance is $L_{r}(t)=a(t) h(r)$, thus resulting in $\ddot{a} = -\frac{4}{3} \pi G \rho a$. Integrating both sides with respect to $2 \dot{a}$ gives $\dot{a}^{2} = -\frac{8}{3} \pi G \rho a^{2} + K$, where $K$ is the integration constant.",\boxed{\ddot{a} = -\frac{4}{3} \pi G \rho a},EQ,,False,EN,Laws Application
1053,Mechanics and Thermodynamics,Relativity,General Relativity,"Under the weak field approximation, $g_{\mu \nu} = \eta_{\mu \nu} + h_{\mu \nu}$, consider the coordinate transformation $x_{\mu} \rightarrow x_{\mu}^{\prime} = x_{\mu} + \varepsilon_{\mu}(x)$, where $\varepsilon$ is a small quantity. Find $h_{\mu \nu}^{\prime}$ in the new coordinates and determine whether $h_{\mu \nu}^{\prime}$ is a solution to the Einstein equation $\Box h_{\mu \nu} = \theta_{\mu,\nu} + \theta_{\nu,\mu}$; that is, whether the linearized vacuum equation is gauge invariant.","From $\frac{\partial x^{\prime \mu}}{\partial x^{\alpha}} = \delta_{\alpha}^{\mu} + \varepsilon_{\ , \alpha}^{\mu}$, we have

$$
\begin{aligned}
g_{\mu \nu}^{\prime}\left(x^{\prime}\right) &= \frac{\partial x^{\prime \alpha}}{\partial x^{\mu}} \frac{\partial x^{\prime \beta}}{\partial x^{\nu}} g_{\alpha \beta}(x) = \left(\delta_{\mu}^{\alpha} + \varepsilon_{,\mu}^{\alpha}\right)\left(\delta_{\nu}^{\beta} + \varepsilon_{,\nu}^{\beta}\right) g_{\alpha \beta}(x) \\
& \approx g_{\mu \nu}(x) + g_{\alpha \nu}(x) \varepsilon_{,\mu}^{\alpha} + g_{\mu \beta}(x) \varepsilon_{,\nu}^{\beta}
\end{aligned}
$$

Using the Taylor expansion, we obtain

$$
g_{\mu \nu}^{\prime}\left(x^{\prime}\right) = g_{\mu \nu}(x) + g_{\mu \nu,\alpha}(x) \varepsilon^{\alpha}
$$

Thus,

$$
g_{\mu \nu}^{\prime}(x) = g_{\mu \nu}(x) - g_{\mu \nu,\alpha}(x) \varepsilon^{\alpha} + g_{\alpha \nu}(x) \varepsilon_{,\mu}^{\alpha} + g_{\mu \beta}(x) \varepsilon_{,\nu}^{\beta}
$$

However, since $g_{\mu \nu}^{\prime} = \eta_{\mu \nu} + h_{\mu \nu}^{\prime}$, it follows that $h_{\mu \nu}^{\prime} = h_{\mu \nu} + \varepsilon_{\mu,\nu} + \varepsilon_{\nu,\mu}$. From the field equation

$$
\square h_{\mu \nu} = \theta_{\mu,\nu} + \theta_{\nu,\mu}
$$

we have

$$
\begin{aligned}
\square h_{\mu \nu}^{\prime} &= \theta_{\mu,\nu} + \theta_{\nu,\mu} + \square \varepsilon_{\mu,\nu} + \square \varepsilon_{\nu,\mu} \\
&= \theta_{\mu,\nu}^{\prime} + \theta_{\nu,\mu}^{\prime} - \varepsilon_{,\alpha \alpha \nu} - \square \varepsilon_{\mu,\nu} + \frac{1}{2} \varepsilon_{,\alpha,\nu} + \frac{1}{2} \varepsilon_{,\alpha \alpha \nu}
\end{aligned}
$$

$$
\begin{aligned}
& - \varepsilon_{,\nu \alpha \alpha} - \square \varepsilon_{\nu,\mu} + \frac{1}{2} \varepsilon_{,\alpha,\mu} + \frac{1}{2} \varepsilon_{,\alpha \alpha \mu} + \square \varepsilon_{\mu,\nu} + \square \varepsilon_{\nu,\mu} \\
= & \theta_{\mu,\nu}^{\prime} + \theta_{\nu,\mu}^{\prime}
\end{aligned}
$$

Therefore, it satisfies gauge invariance.",\boxed{Yes},TF,,False,EN,Math Derivation
