index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
1574,Mechanics and Thermodynamics,Theoretical Mechanics,Small Vibrations of Finite System,"In a vacuum, a satellite with a mass of 950 kg is being towed by a spaceship using a homogeneous rope that is 50 m long, with a linear density of 1 kg/m, at a uniform acceleration of 5 m/sÂ² in a straight line. Calculate the force exerted by the spaceship on the rope.","The generalized forces for generalized coordinates $x, s$ are

$$
Q_{x}=F_{0} \cos \Omega t, \quad Q_{s}=0
$$

After applying the normal coordinates $\xi, \eta$, the relationship for generalized forces is given by:

$$
\begin{pmatrix} Q_{\xi} \\ Q_{\eta} \end{pmatrix} =\left(\begin{array}{cc} \frac{1}{2} & -\frac{3}{2} \\ -\frac{\sqrt{3}}{2} & -\frac{\sqrt{3}}{2} \end{array}\right) \begin{pmatrix} Q_{x} \\ Q_{s} \end{pmatrix}
$$

where the transformation matrix is $\boldsymbol{G}^{\boldsymbol{T}}$. Substituting $Q_{x}, Q_{s}$ gives

$$
Q_{\xi}=\frac{1}{2} F_{0} \cos \Omega t, \quad Q_{\eta}=-\frac{\sqrt{3}}{2} F_{0} \cos \Omega t
$$

The differential equations are:

$$
\begin{gathered}
2 m \ddot{\xi}+k \xi=\frac{1}{2} F_{0} \cos \Omega t \\
6 m \ddot{\eta}+k \eta=-\frac{\sqrt{3}}{2} F_{0} \cos \Omega t
\end{gathered}
$$

The particular solutions are:

$$
\begin{aligned}
\xi^{*}= & \frac{\frac{F_{0}}{4 m}}{\frac{k}{2 m}-\Omega^{2}} \cos \Omega t=\frac{F_{0} l}{2 m\left(3 g-2 l \Omega^{2}\right)} \cos \Omega t \\
\eta^{*}= & \frac{-\sqrt{3} F_{0}}{\frac{k}{6 m}-\Omega^{2}} \cos \Omega t=\frac{-\sqrt{3} F_{0} l}{6 m\left(g-2 l \Omega^{2}\right)} \cos \Omega t
\end{aligned}
$$

The general solutions are:

$$
\begin{aligned}
& \xi=\frac{F_{0} l}{2 m\left(3 g-2 l \Omega^{2}\right)} \cos \Omega t+C_{1}^{\prime} \cos \left(\sqrt{\frac{3 g}{2 l}} t+\alpha_{1}\right) \\
& \eta=-\frac{\sqrt{3} F_{0} l}{6 m\left(g-2 l \Omega^{2}\right)} \cos \Omega t+C_{2}^{\prime} \cos \left(\sqrt{\frac{g}{2 l}} t+\alpha_{2}\right)
\end{aligned}
$$

Further, we obtain:

$$
\begin{aligned}
x= & \frac{1}{2} \xi - \frac{\sqrt{3}}{2} \eta = \left[\frac{F_{0} l}{4 m(3 g-2 l \Omega^{2})} + \frac{F_{0} l}{4 m(g-2 l \Omega^{2})}\right] \cos \Omega t \\
& + C_{1} \cos \left(\sqrt{\frac{3g}{2l}} t+\alpha_{1}\right) + C_{2} \cos \left(\sqrt{\frac{g}{2l}} t+\alpha_{2}\right) \\
\theta= & -\frac{3}{2 l} \xi - \frac{\sqrt{3}}{2 l} \eta = \left[-\frac{3 F_{0}}{4 m(3g-2l\Omega^{2})} + \frac{F_{0}}{4m(g-2l\Omega^{2})}\right] \cos \Omega t 
\end{aligned}
$$

$$
-\frac{3}{l} C_{1} \cos \left(\sqrt{\frac{3g}{2l}} t+\alpha_{1}\right) + \frac{1}{l} C_{2} \cos \left(\sqrt{\frac{g}{2l}} t+\alpha_{2}\right)
$$

Figure 10.59 \\
$$
<image 1>
$$",\boxed{5000},NV,\mathrm{N},False,EN,Practical Application
1630,Mechanics and Thermodynamics,Theoretical Mechanics,Small Vibrations of Finite System,"In a vacuum, a satellite with a mass of 950 kg is being pulled by a spaceship using a homogenous rope that is 50 meters long with a linear density of 1 kg/m. The satellite is moving with a constant acceleration of 5 m/sÂ² in a straight line. Calculate the tension distribution in the rope.","The generalized forces for generalized coordinates $x, s$ are

$$
Q_{x}=F_{0} \cos \Omega t, \quad Q_{s}=0
$$

After applying the normal coordinates $\xi, \eta$, the relationship for generalized forces is given by:

$$
\begin{pmatrix} Q_{\xi} \\ Q_{\eta} \end{pmatrix} =\left(\begin{array}{cc} \frac{1}{2} & -\frac{3}{2} \\ -\frac{\sqrt{3}}{2} & -\frac{\sqrt{3}}{2} \end{array}\right) \begin{pmatrix} Q_{x} \\ Q_{s} \end{pmatrix}
$$

where the transformation matrix is $\boldsymbol{G}^{\boldsymbol{T}}$. Substituting $Q_{x}, Q_{s}$ gives

$$
Q_{\xi}=\frac{1}{2} F_{0} \cos \Omega t, \quad Q_{\eta}=-\frac{\sqrt{3}}{2} F_{0} \cos \Omega t
$$

The differential equations are:

$$
\begin{gathered}
2 m \ddot{\xi}+k \xi=\frac{1}{2} F_{0} \cos \Omega t \\
6 m \ddot{\eta}+k \eta=-\frac{\sqrt{3}}{2} F_{0} \cos \Omega t
\end{gathered}
$$

The particular solutions are:

$$
\begin{aligned}
\xi^{*}= & \frac{\frac{F_{0}}{4 m}}{\frac{k}{2 m}-\Omega^{2}} \cos \Omega t=\frac{F_{0} l}{2 m\left(3 g-2 l \Omega^{2}\right)} \cos \Omega t \\
\eta^{*}= & \frac{-\sqrt{3} F_{0}}{\frac{k}{6 m}-\Omega^{2}} \cos \Omega t=\frac{-\sqrt{3} F_{0} l}{6 m\left(g-2 l \Omega^{2}\right)} \cos \Omega t
\end{aligned}
$$

The general solutions are:

$$
\begin{aligned}
& \xi=\frac{F_{0} l}{2 m\left(3 g-2 l \Omega^{2}\right)} \cos \Omega t+C_{1}^{\prime} \cos \left(\sqrt{\frac{3 g}{2 l}} t+\alpha_{1}\right) \\
& \eta=-\frac{\sqrt{3} F_{0} l}{6 m\left(g-2 l \Omega^{2}\right)} \cos \Omega t+C_{2}^{\prime} \cos \left(\sqrt{\frac{g}{2 l}} t+\alpha_{2}\right)
\end{aligned}
$$

Further, we obtain:

$$
\begin{aligned}
x= & \frac{1}{2} \xi - \frac{\sqrt{3}}{2} \eta = \left[\frac{F_{0} l}{4 m(3 g-2 l \Omega^{2})} + \frac{F_{0} l}{4 m(g-2 l \Omega^{2})}\right] \cos \Omega t \\
& + C_{1} \cos \left(\sqrt{\frac{3g}{2l}} t+\alpha_{1}\right) + C_{2} \cos \left(\sqrt{\frac{g}{2l}} t+\alpha_{2}\right) \\
\theta= & -\frac{3}{2 l} \xi - \frac{\sqrt{3}}{2 l} \eta = \left[-\frac{3 F_{0}}{4 m(3g-2l\Omega^{2})} + \frac{F_{0}}{4m(g-2l\Omega^{2})}\right] \cos \Omega t 
\end{aligned}
$$

$$
-\frac{3}{l} C_{1} \cos \left(\sqrt{\frac{3g}{2l}} t+\alpha_{1}\right) + \frac{1}{l} C_{2} \cos \left(\sqrt{\frac{g}{2l}} t+\alpha_{2}\right)
$$

Figure 10.59 \\
$$
<image 1>
$$",\boxed{5 \times 10^{3} - 5x},EX,\mathrm{N},False,EN,Math Derivation
1730,Mechanics and Thermodynamics,Theoretical Mechanics,Lagrangian Formulation of Mechanics,"A particle with mass $m$, under the influence of gravity, falls vertically from rest and is subject to a resistive force that can be described by the dissipation function $R=\frac{1}{2} \gamma \dot{x}^{2}$. Prove that the maximum velocity of the particle is $\frac{mg}{\gamma}$.","Take the $x$-axis vertically downward,

From

$$
\begin{aligned}
& T=\frac{1}{2} m \dot{x}^{2}, \quad V=-mgx, \\
& L=T-V=\frac{1}{2} m \dot{x}^{2} + mgx, \\
& R=\frac{1}{2} \gamma \dot{x}^{2}, \quad Q=-\frac{\partial R}{\partial \dot{x}}=-\gamma \dot{x}, \\
& \frac{\mathrm{d}}{\mathrm{d} t}\left(\frac{\partial L}{\partial \dot{x}}\right) - \frac{\partial L}{\partial x}=Q \\
& m \ddot{x} - mg = -\gamma \dot{x}
\end{aligned}
$$

When the maximum velocity is reached, $\ddot{x}=0$. Substituting into the above equation gives

$$
\dot{x}_{\max} = \frac{mg}{\gamma}
$$",\boxed{\frac{mg}{\gamma}},NV,,False,EN,Math Derivation
1765,Mechanics and Thermodynamics,Theoretical Mechanics,Small Vibrations of Finite System,"A particle with mass $m$ moves on a smooth parabola in the vertical plane described by $z=\frac{1}{a} x^{2}$ (where $a$ is a constant, and the $z$-axis is vertically upwards). Write the Lagrangian function.","Using $x$ as the generalized coordinate,

$$
\begin{gathered}
T=\frac{1}{2} m\left(\dot{x}^{2}+\dot{z}^{2}\right)=\frac{1}{2} m\left(1+\frac{4 x^{2}}{a^{2}}\right) \dot{x}^{2}, \\
V=m g z=\frac{1}{a} m g x^{2}, \\
L=\frac{1}{2} m\left(1+\frac{4 x^{2}}{a^{2}}\right) \dot{x}^{2}-\frac{1}{a} m g x^{2}.
\end{gathered}
$$",\boxed{L = \frac{1}{2} m\left(1+\frac{4 x^{2}}{a^{2}}\right) \dot{x}^{2} - \frac{1}{a} m g x^{2}},EX,,False,EN,Laws Application
1769,Mechanics and Thermodynamics,Theoretical Mechanics,Lagrangian Formulation of Mechanics,"A particle moving in a uniform gravitational field is described using spherical coordinates, with the vertical upward direction taken as the polar axis. Find the generalized force component of gravity in the \( \varphi \) direction.","Solution

Thus

$$
\begin{aligned}
Q_{\varphi} & =0
\end{aligned}
$$",\boxed{0},NV,,False,EN,Knowledge Recall
1776,Mechanics and Thermodynamics,Theoretical Mechanics,Lagrangian Formulation of Mechanics,"Consider a homogeneous rod of length $l$ and mass $M$ moving in the vertical $xz$ plane. One end of the rod, $A$, is constrained to slide along the line $z = x \tan \alpha$ (where $\alpha$ is the angle of the line with respect to the horizontal $x$ axis). Using the generalized coordinates shown in Figure 7.59: $s$ and $\theta$. Under the condition of pure translation, determine the value of $\theta$.","In pure translation, $\dot{\theta}=0, \ddot{\theta}=0$. Substituting into the motion differential equations, we have:

$$
\begin{aligned}
& \ddot{s} - g \sin \alpha = 0 \\
& \ddot{s} \cos (\theta-\alpha) - g \sin \theta = 0
\end{aligned}
$$

Eliminating $\ddot{s}$ from the second equation using the first equation, we get:

$$
\begin{aligned}
& \sin \alpha \cos (\theta-\alpha) - \sin \theta = 0 \\
& \sin \alpha(\cos \theta \cos \alpha + \sin \theta \sin \alpha) - \sin \theta = 0 \\
& \sin \alpha \cos \alpha \cos \theta - \sin \theta \left(1-\sin^{2} \alpha\right) = 0 \\
& \sin \alpha \cos \theta - \sin \theta \cos \alpha = 0 \\
& \sin (\alpha-\theta) = 0 \\
& \quad \theta = \alpha \text{ or } \pi + \alpha
\end{aligned}
$$","\boxed{\alpha, \pi + \alpha}","NV, NV",,True,EN,Math Derivation
1779,Mechanics and Thermodynamics,Theoretical Mechanics,Small Vibrations of Finite System,"A solid sphere with mass $m$ and radius $r$ rolls on the inner surface of a fixed spherical shell with radius $R$. Assuming the condition for pure rolling exists: $(R - r) \dot{\theta} - r \dot{\varphi} = 0$, find the expression for $\dot{\varphi}$.","Due to pure rolling,

$$
\begin{gathered}
(R - r) \dot{\theta} - r \dot{\varphi} = 0 \\
\dot{\varphi} = \frac{R - r}{r} \dot{\theta}
\end{gathered}
$$",\boxed{\dot{\varphi} = \frac{R - r}{r} \dot{\theta}},EQ,,False,EN,Laws Application
1780,Mechanics and Thermodynamics,Theoretical Mechanics,Small Vibrations of Finite System,A solid sphere with mass $m$ and radius $r$ rolls on the inner surface of a fixed spherical shell with radius $R$. Use the Lagrangian equation to determine the period $T$ of small oscillations of the sphere near its equilibrium position.,"From the Lagrangian equation

$$
\frac{\mathrm{d}}{\mathrm{d} t}\left(\frac{\partial L}{\partial \dot{\theta}}\right) - \frac{\partial L}{\partial \theta} = 0
$$

we obtain

$$
\begin{gathered}
\frac{7}{5} m (R - r)^{2} \ddot{\theta} + m g (R - r) \theta = 0 \\
\omega = \sqrt{\frac{5 g}{7 (R - r)}} \\
T = \frac{2 \pi}{\omega} = 2 \pi \sqrt{\frac{7 (R - r)}{5 g}}
\end{gathered}
$$","\[
\boxed{2 \pi \sqrt{\frac{7 (R - r)}{5 g}}}
\]",EX,,False,EN,Math Derivation
1782,Mechanics and Thermodynamics,Theoretical Mechanics,Lagrangian Formulation of Mechanics,"Consider a homogeneous rod of length \( l \) and mass \( M \), moving within a vertical \( xz \) plane. One end, \( A \), of the rod is constrained to slide along the line \( z = x \tan \alpha \) (where \( \alpha \) is the angle of the line with respect to the horizontal \( x \)-axis). Utilize the generalized coordinates shown in Figure 7.59: \( s \) and \( \theta \). Compute the expressions for the kinetic energy \( T \) and the potential energy \( V \).","The kinetic energy is:

$$
T = \frac{1}{2} M\left(\dot{x}_{C}^{2} + \dot{z}_{C}^{2}\right) + \frac{1}{2} \cdot \frac{1}{12} M l^{2} \dot{\theta}^{2}
$$

Simplifying gives:

$$
T = \frac{1}{2} M \left[ \dot{s}^{2} + \frac{1}{3} l^{2} \dot{\theta}^{2} - l \dot{s} \dot{\theta} \cos (\theta-\alpha) \right]
$$

The potential energy is:

$$
V = -M g z_{C} = -M g \left( s \sin \alpha + \frac{l}{2} \cos \theta \right)
$$","\boxed{T, V}","EX, EX","None, None",True,EN,Practical Application
1789,Mechanics and Thermodynamics,Theoretical Mechanics,Lagrangian Formulation of Mechanics,"Given two types of vector potentials: \( \boldsymbol{A} = \frac{1}{2} r B_{0} \boldsymbol{e}_{\varphi} \) and \( \boldsymbol{A}^{\prime} = -B_{0} r \sin \varphi \left( \cos \varphi \, \boldsymbol{e}_{r} - \sin \varphi \, \boldsymbol{e}_{\varphi} \right) \). Prove that there exists a \( \Lambda \) such that \( \boldsymbol{A}^{\prime} = \boldsymbol{A} + \nabla \Lambda \), and determine this \( \Lambda \).","A \( \Lambda \) can be found such that \( \boldsymbol{A}^{\prime} = \boldsymbol{A} + \nabla \Lambda \). This \( \Lambda \) is:

\[
\Lambda = -\frac{1}{2} B_{0} r^{2} \sin \varphi \cos \varphi
\]",\boxed{-\frac{1}{2} B_{0} r^{2} \sin \varphi \cos \varphi},EX,,False,EN,Math Derivation
