index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
1523,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A solid-fuel rocket has a vertical acceleration given by

$$
a = k \mathrm{e}^{-b t} - c v - g
$$

where $b$, $c$, and $k$ are constants, $v$ is the vertical velocity attained, and $g$ is the acceleration due to gravity. When operating in the atmosphere, $g$ is considered a constant. Use the method of variation of parameters to determine the vertical velocity $t$ seconds after the rocket is launched.","Solve using the method of variation of parameters

$$
\begin{aligned}
& \dot{v} + c v = k \mathrm{e}^{-b t} - g \\
& \dot{v} = \dot{A} \mathrm{e}^{-c t} - c A \mathrm{e}^{-c t} \\
& \dot{A} \mathrm{e}^{-c t} - c A \mathrm{e}^{-c t} + c A \mathrm{e}^{-c t} = k \mathrm{e}^{-b t} - g \\
& \mathrm{d} A = \left[k \mathrm{e}^{(c-b) t} - g \mathrm{e}^{c t}\right] \mathrm{d} t \\
& A = \frac{k}{c-b} \mathrm{e}^{(c-b) t} - \frac{g}{c} \mathrm{e}^{c t} + B \\
& v = \frac{k}{c-b} \mathrm{e}^{-b t} - \frac{g}{c} + B \mathrm{e}^{-c t}
\end{aligned}
$$

Determine $B$ using $v=0$ at $t=0$

$$
\begin{aligned}
& B = \frac{g}{c} - \frac{k}{c-b} \\
& v = \frac{g}{c}\left(\mathrm{e}^{-c t} - 1\right) + \frac{k}{c-b}\left(\mathrm{e}^{-b t} - \mathrm{e}^{-c t}\right)
\end{aligned}
$$",\boxed{\frac{g}{c}\left(\mathrm{e}^{-c t} - 1\right) + \frac{k}{c-b}\left(\mathrm{e}^{-b t} - \mathrm{e}^{-c t}\right)},EX,,False,EN,Math Derivation
1524,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"The vertical acceleration of a certain solid-fuel rocket is given by

$$
a = k \mathrm{e}^{-b t} - c v - g
$$

where $b, c, k$ are constants, $v$ is the acquired vertical velocity, and $g$ is the gravitational acceleration. When operating in the atmosphere, $g$ is considered a constant. Use the method of integrating factors to determine the vertical velocity $v$ of the rocket after $t$ seconds from launch.","To solve this non-homogeneous linear differential equation, the method of integrating factors can be used, or the general solution of the corresponding homogeneous linear differential equation plus a particular solution of the non-homogeneous equation can be considered. The particular solution of the non-homogeneous equation can be directly written as

$$
v = A \mathrm{e}^{-b t} - \frac{g}{c}
$$

Substituting into the equation, we find

$$
A = \frac{k}{c-b}
$$",\boxed{v = \frac{k}{c-b} \mathrm{e}^{-b t} - \frac{g}{c}},EQ,,False,EN,Math Derivation
1525,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A particle with a mass of $m$, a charge of $q$, and an initial velocity of $v$ undergoes a head-on collision with another identical particle that is initially at rest. Determine the final velocities of the two particles.","At the point of closest approach, the interaction between the two particles is repulsive, reaching its maximum magnitude. As a result, the velocity of the originally moving particle continues to decrease, while the velocity of the initially stationary particle continues to increase. Based on symmetry, we can conclude that the result of the elastic head-on collision of the two identical particles is that they ultimately exchange velocities. Therefore, the final velocity of the originally moving particle is $v_{1} = v_{2}^{0} = 0$, and the final velocity of the initially stationary particle is $v_{2} = v_{1}^{0} = v$. The subscripts 1 and 2 respectively denote the originally moving and originally stationary particles, where $v_{1}^{0}$ represents the initial velocity of the originally moving particle, and $v_{1}$ represents its final velocity.","\boxed{0, v}","NV, NV","None, None",True,EN,Laws Application
1526,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A small ball with mass \( m \) is attached to one end of an inextensible light string, passes through a small hole on the table, and moves on a frictionless horizontal table surface. The string has no friction with the hole. Question: What force is needed at the other end of the string to make the ball perform circular motion with radius \( r_1 \) and angular velocity \( \omega_1 \) around the hole as the center?",\( F = m r_1 \omega_1^2 \),\boxed{m r_1 \omega_1^2},EX,,False,EN,Laws Application
1527,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A particle is undergoing planar motion, with a radial velocity component $\dot{r}=c_{1}$ and a tangential velocity component $\dot{\varphi}=c_{2}$, where $c_{1}$ and $c_{2}$ are positive constants. Given that at $t=0$, the tangential component of acceleration $a_{\varphi}=\frac{c_{1} c_{2}}{b}$, find the radial component of acceleration at $t=0$.","Calculate the radial acceleration:
$$
a_{r}=\ddot{r}-(r \dot{\varphi})^2 =0-\left(c_{1} t+b\right)\left(\frac{c_{2}}{c_{1} \cdot (c_{1} t+b)}\right)^{2}=-\frac{c_{2}^{2}}{c_{1} t+b}
$$

At $t=0$, $a_{r}=-\frac{c_{2}^{2}}{b}$.",\boxed{-\frac{c_{2}^{2}}{b}},NV,,False,EN,Laws Application
1528,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A particle moves along a straight line, and its velocity is given by \( v = A t - B x \), where \( A \) and \( B \) are constants. When \( t = 0 \), \( x = 0 \). Find the acceleration \( a_{0} \) at \( t = 0 \).","$$
\begin{aligned}
& v = -\frac{A}{B} \mathrm{e}^{-B t} + \frac{A}{B} \\
& a = \frac{\mathrm{d} v}{\mathrm{~d} t} = A \mathrm{e}^{-B t}
\end{aligned}
$$

At \( t=0 \), \( a = a_{0} = A \). Alternatively, differentiate \( v = A t - B x \) with respect to \( t \) and substitute the value at \( t=0 \):

$$
\begin{aligned}
a_{0} & = \left.\frac{\mathrm{d} v}{\mathrm{~d} t}\right|_{t=0} = A - \left. B \frac{\mathrm{~d} x}{\mathrm{~d} t}\right|_{t=0} \\
& = A - \left.B(A t - B x)\right|_{t=0, x=0} = A
\end{aligned}
$$",\boxed{A},NV,,False,EN,Math Derivation
1529,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A target is placed on a small hill, and from the position of the cannon, the angle of elevation to the target is $\alpha$. The horizontal distance between the cannon and the target is $L$. Find the height $h$ of the target from the position of the cannon.","The height $h$ of the target from the position of the cannon can be expressed as

$$
h = L \tan \alpha.
$$",\boxed{L \tan \alpha},EX,,False,EN,
1530,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"Given a directed line $L$ with direction cosines $l, m, n$, and passing through the point $(a, b, c)$, determine the moment of a unit vector in the $xy$ plane that passes through the origin, given by $\cos \alpha \boldsymbol{i} + \sin \alpha \boldsymbol{j}$. This vector makes an angle $\alpha$ with the $x$-axis and an angle $\frac{\pi}{2} - \alpha$ with the $y$-axis.","The unit vector is $\cos \alpha \boldsymbol{i} + \sin \alpha \boldsymbol{j}$, passing through the origin, and its position vector relative to the point $(a, b, c)$ is $-(a \boldsymbol{i} + b \boldsymbol{j} + c \boldsymbol{k})$.

The moment of the unit vector about the point $(a, b, c)$ is given by

$$
\boldsymbol{M} = - (a \boldsymbol{i} + b \boldsymbol{j} + c \boldsymbol{k}) \times (\cos \alpha \boldsymbol{i} + \sin \alpha \boldsymbol{j}).
$$

The moment of the unit vector about the directed line $L$ is calculated as

$$
M_{L} = \boldsymbol{M} \cdot (l \boldsymbol{i} + m \boldsymbol{j} + n \boldsymbol{k}).
$$

This simplifies to

$$
\begin{aligned}
M_{L} &= [-(a \boldsymbol{i} + b \boldsymbol{j} + c \boldsymbol{k}) \times (\cos \alpha \boldsymbol{i} + \sin \alpha \boldsymbol{j})] \cdot (l \boldsymbol{i} + m \boldsymbol{j} + n \boldsymbol{k}) \\
      &= (cl - an) \sin \alpha + (bn - cm) \cos \alpha.
\end{aligned}
$$",\boxed{(cl - an) \sin \alpha + (bn - cm) \cos \alpha},EX,,False,EN,Math Derivation
1531,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"A particle with mass \( m \) is located at the lowest point on the surface of an ellipsoid given by

\[
\frac{x^{2}}{a^{2}}+\frac{y^{2}}{a^{2}}+\frac{(z-c)^{2}}{c^{2}}-1=0
\]

The ellipsoid rotates around the \( z \)-axis with a constant angular velocity \( \omega \). Find the height difference between the particle's position in its relative equilibrium state and the lowest point of the ellipsoid.","Assuming \( a = b \), let the relative equilibrium position of the particle be at \( z = h \). Use a coordinate system \( (x, z) \) fixed on the ellipsoid surface as the reference frame.

\[
\begin{aligned}
& m \ddot{x}=\lambda \frac{\partial f}{\partial x}+m \omega^{2} x=\frac{2 \lambda x}{a^{2}}+m \omega^{2} x=0 \\
& m \ddot{z}=-m g+\lambda \frac{\partial f}{\partial z}=-m g+\frac{2 \lambda(h-c)}{c^{2}}=0
\end{aligned}
\]

From these equations, we find

\[
\lambda=-\frac{1}{2} m a^{2} \omega^{2}
\]

Substituting into the second equation leads to the solution

\[
h=c-\frac{c^{2} g}{a^{2} \omega^{2}}
\]",\boxed{-\frac{c^{2} g}{a^{2} \omega^{2}}},EX,,False,EN,
1532,Mechanics and Thermodynamics,Classical Mechanics,Particle Dynamics,"Find the zeroth-order approximation solution for a nonlinear oscillator under the influence of a conservative force with the potential energy 

$$
V(x)=\frac{1}{2} k x^{2}-\frac{1}{3} m \lambda x^{3}
$$

(where $\lambda$ is very small), given that $x=0$ at $t=0$.","Zeroth-order approximation:

\begin{gather*}
m \ddot{x}=-\frac{\mathrm{d} V(x)}{\mathrm{d} x}=-k x+m \lambda x^{2}  \tag{1}\\
m \ddot{x}^{(0)}=-k x^{(0)} \tag{2}
\end{gather*}

Given that at $t=0$, $x=0$, we determine $\varphi=0$,

$$
x^{(0)}=A \sin (\omega t+\varphi)
$$

\begin{equation*}
x^{(0)}=A \sin \omega t \tag{3}
\end{equation*}

where $\omega=\sqrt{\frac{k}{m}}$.",\boxed{x^{(0)}=A \sin \omega t},EQ,,False,EN,Laws Application
