index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
2852,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,There is a large heat reservoir at $900 \ \mathrm{K}(H)$ and $300 \ \mathrm{K}(C)$. 100 cal of heat is transferred to $C$. What is the change in entropy of the entire system?,"The change in entropy of the entire system is

$$
\Delta S = Q\left(\frac{1}{T_{C}} - \frac{1}{T_{H}}\right) = 100\left(\frac{1}{300} - \frac{1}{900}\right) = \frac{2}{9} \ \mathrm{(cal/K)}
$$",\boxed{\frac{2}{9}},NV,\mathrm{cal/K},False,EN,Laws Application
2853,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,There is a large heat reservoir at $900 \ \mathrm{K}(H)$ and $300 \ \mathrm{K}(C)$. A real heat engine transfers heat from $C$ to $H$. What is the change in entropy for the entire system produced by this heat engine acting as a heat pump?,"Change in entropy

$$
\Delta S = -\frac{Q_{2}}{T_{C}} + \frac{Q_{1}}{T_{H}}
$$

where $Q_{2}$ is the heat released to the cold reservoir, and $Q_{1}$ is the heat absorbed from the hot reservoir. Because $Q_{2} / T_{C} - Q_{1} / T_{H} \leq 0$, therefore $\Delta S \geq 0$.",\boxed{0},NV,,False,EN,Laws Application
2854,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"The rate of change of temperature of a paramagnetic substance with magnetic field \( H \) and magnetization \( m \) are given by
\[
\left( \frac{\partial H}{\partial T} \right)_{m} = \frac{H}{T}, \quad \left( \frac{\partial m}{\partial T} \right)_{H} = -\frac{C H}{T^{2}}
\]
where \( C \) is a constant. Determine the equation of state for this paramagnetic substance.","Select \( T \) and \( H \) as the independent variables, then the equation of state for the paramagnetic substance is
\[
\begin{aligned}
& m = m(T, H) \\
& \mathrm{d} m = \left( \frac{\partial m}{\partial T} \right)_{H} \mathrm{d} T + \left( \frac{\partial m}{\partial H} \right)_{T} \mathrm{d} H = \left( \frac{\partial m}{\partial T} \right)_{H} \mathrm{d} T - \left( \frac{\partial m}{\partial T} \right)_{H}\left( \frac{\partial T}{\partial H} \right)_{m} \mathrm{d} H \\
& = -\frac{C H}{T^{2}} \mathrm{d} T + \frac{C}{T} \mathrm{d} H = \mathrm{d}\left( \frac{C H}{T} \right)
\end{aligned}
\]

Integrating the above expression, the equation of state for the paramagnetic substance is obtained as
\[
m = \frac{C H}{T}
\]
where the integration constant has been set to zero, as for a paramagnetic substance, when \( H = 0 \), \( m = 0 \).",\boxed{m = \frac{C H}{T}},EQ,,False,EN,Math Derivation
2855,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"In a rigid box, there is one mole of air at the temperature \( T_0 \mathrm{~K} \). If a heat engine is used to extract heat from a large heat reservoir at temperature \( T_0 \) to warm the air to \( T_1 \), find the minimum work \( W \) done on the heat engine by the surroundings. Neglect the internal vibrational degrees of freedom of air molecules and the heat capacity of the box itself. Express \( W \) in terms of \( T_0 \), \( T_1 \), and the gas constant \( R \).","Let \( \Delta Q \) be the heat absorbed from the large heat reservoir, then \(\Delta Q + W = c_{\mathrm{v}}(T_1 - T_0)\). According to the second law of thermodynamics, the total entropy change of the air and the heat source is:

\[
0 \leqslant \Delta S_{\text{total}} = \Delta S_{\text{source}} + \Delta S_{\text{air}} = -\frac{\Delta Q}{T_0} + c_{\mathrm{v}} \ln \frac{T_1}{T_0}
\]

Thus, we have

\[
W = c_{\mathrm{v}} (T_1 - T_0) - c_{\mathrm{v}} T_0 \ln \frac{T_1}{T_0} = W_{\min}
\]","\[
\boxed{c_{\mathrm{v}} (T_1 - T_0) - c_{\mathrm{v}} T_0 \ln \frac{T_1}{T_0}}
\]",EX,,False,EN,Math Derivation
2856,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"An object with a constant heat capacity $c_{\mathrm{p}}$ and an initial temperature of $T_{\mathrm{i}}$ is brought into contact with a heat reservoir at temperature $T_{\mathrm{f}}$ under constant pressure until equilibrium is reached. Find the change in entropy of the object, $\Delta S_1$.","Assume $T_{\mathrm{i}} \neq T_{\mathrm{f}}$ (because the change in entropy would be zero if $T_{\mathrm{i}}=T_{\mathrm{f}}$). The change in entropy of the object is given by

$$
\Delta S_{1} = \int_{T_{\mathrm{i}}}^{T_{\mathrm{f}}} \frac{c_{\mathrm{p}} \, \mathrm{d}T}{T} = c_{\mathrm{p}} \ln \frac{T_{\mathrm{f}}}{T_{\mathrm{i}}}
$$",\boxed{c_{\mathrm{p}} \ln \frac{T_{\mathrm{f}}}{T_{\mathrm{i}}}},EX,,False,EN,Laws Application
2857,Mechanics and Thermodynamics,Thermodynamics,Phase Transition and Equilibrium,"The superconducting transition temperature of $\mathrm{He}^{4}$ is less than 20 K. Determine its correctness, and answer with T (for true) and F (for false).",F.,\boxed{No},TF,,False,EN,Knowledge Recall
2858,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic State and First Law of Thermodynamics,"An adiabatic piston-cylinder contains a diatomic ideal gas, and the piston can move without friction within the cylinder. Initially, the piston is at an equilibrium position, with the gas in the cylinder having a volume of $V_{0}=10 \ \mathrm{L}$ and a temperature of $T_{0}=27^{\circ} \mathrm{C}$. The atmospheric pressure is known to be $p_{0}=10^{5} \ \mathrm{Pa}$, and the cross-sectional area of the piston is $A=4 \ \mathrm{cm}^{2}$. Now, the piston is pushed inward with a constant force of $F=50 \ \mathrm{N}$. Is this process a quasi-static process? Can we write a process equation for it?","Since there is a finite pressure difference on the two sides of the piston, this is a non-quasi-static process, and a process equation cannot be written for it.",\boxed{No},TF,,False,EN,Knowledge Recall
2859,Mechanics and Thermodynamics,Thermodynamics,Thermodynamic Functions and Equilibrium Conditions,"The Gibbs function for a certain system is given by

$$
G(p, T) = R T \ln \left[\frac{a p}{(R T)^{5/2}}\right]
$$

where $a$ and $R$ are constants. Find the specific heat at constant pressure $c_p$.","$$
\begin{aligned}
& S = -\left(\frac{\partial G}{\partial T}\right)_{p} = \frac{5}{2} R - R \ln \left[\frac{a p}{(R T)^{5/2}}\right] \\
& c_p = T\left(\frac{\partial S}{\partial T}\right)_{p} = \frac{5}{2} R
\end{aligned}
$$",\boxed{\frac{5}{2} R},NV,,False,EN,Laws Application
2861,Mechanics and Thermodynamics,Thermodynamics,Second Law of Thermodynamics and Entropy,"An adiabatic box is divided into two parts by a partition (with volumes $V_{1}$ and $V_{2}$ respectively), with one part containing an ideal gas at temperature $T$, and the other part being empty (vacuum). The partition is suddenly removed, allowing the gas to fill the entire box and reach thermal equilibrium. What is the final temperature $T_{f}$ of the gas?","Since the gas undergoes free expansion, it does no external work, and no heat is transferred, the internal energy remains constant, i.e., $\mathrm{d}U=0$. The internal energy of an ideal gas is solely a function of its temperature, therefore, during this process, the temperature remains unchanged, which means

$$
T_{f}=T
$$",\boxed{T},NV,,False,EN,Laws Application
2862,Mechanics and Thermodynamics,Thermodynamics,Phase Transition and Equilibrium,"Liquid phase can exist at absolute zero. Determine its correctness, using T (for true) and F (for false) to indicate the answer.",F.,\boxed{No},TF,,False,EN,Knowledge Recall
