index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
3784,Modern Physics,Semiconductor Physics,Transport Properties,"For an n-type GaAs with a thickness of 0.08 cm, a current of 50 mA is applied in the \(x\) direction, and a magnetic field of 0.5 T is applied in the \(z\) direction, resulting in a Hall voltage of 0.4 mV. Calculate the carrier concentration.","Carrier concentration  
\[
\begin{aligned}
& R_{\mathrm{H}} = -\frac{1}{n e} \\
& n = -\frac{1}{R_{\mathrm{H}} e} = \frac{1}{1.28 \times 10^{-5} \times 1.6 \times 10^{-19}} = 4.88 \times 10^{23} \, \text{m}^{-3}
\end{aligned}
\]",\boxed{4.88 \times 10^{23}},NV,\text{m}^{-3},False,EN,Laws Application
3785,Modern Physics,Semiconductor Physics,"Magnetic, Optical, and Superconducting Properties","Consider a crystal containing paramagnetic impurities, where the energy levels of the impurities in a given magnetic field are ±\(\varepsilon\). In the high-temperature limit, compare the temperature dependence of the specific heat of the impurities with that of the phonon specific heat (Debye model), and provide a physical explanation for their differences.","In the high-temperature limit, \(k_{\mathrm{B}} T \gg \varepsilon\), \(\operatorname{sech}^{2}\left(\frac{\varepsilon}{k_{\mathrm{B}} T}\right) \rightarrow 1\), so the specific heat \(c_{V}\) primarily varies with \(T\) as \(T^{-2}\), while in the Debye model, \(c_{V}\) tends toward a constant.","\boxed{c_{V} \sim T^{-2}, \text{constant}}","EX, EX","\text{None}, \text{None}",True,EN,Laws Application
3788,Modern Physics,Semiconductor Physics,"Magnetic, Optical, and Superconducting Properties",Describe the AC Josephson effect using carefully chosen words (without using equations).,"If a constant voltage \(V\) is applied across the superconductors of a Josephson junction, an alternating supercurrent with frequency \(\nu = \frac{2eV}{h}\) will pass through the junction. This is known as the AC Josephson effect.",\boxed{\nu = \frac{2eV}{h}},EQ,,False,EN,Knowledge Recall
3789,Modern Physics,Semiconductor Physics,Transport Properties,"The electron mobility of InSb is \(7.5 \mathrm{~m}^{2} / \mathrm{V} \cdot \mathrm{s}\), and the hole mobility is \(0.075 \mathrm{~m}^{2} / \mathrm{V} \cdot \mathrm{s}\). At room temperature, the intrinsic carrier concentration is \(1.6 \times 10^{16} \mathrm{~cm}^{-3}\). Calculate the intrinsic conductivity.","Using the formula from Problem Solving 1.2.23:

\[
\sigma_{i} = n_{i} e\left(\mu_{\mathrm{n}} + \mu_{\mathrm{p}}\right) = 1.6 \times 10^{16} \times 1.6 \times 10^{-19} \times (7.5 + 0.075) \times 10^{4} = 194 (\Omega \mathrm{~cm})^{-1}
\]",\boxed{194},NV,,False,EN,Knowledge Recall
3792,Modern Physics,Semiconductor Physics,Others,"In a counting experiment, there is an average counting rate \(\gamma\) of \(1000 \text{ events/second}\), a portion of which comes from random background. The average background counting rate \(r_{B}\) is \(900 \text{ events/second}\). The ""true"" event counting rate \(r_{\mathrm{T}}\) is known to be \(100 \text{ events/second}\). To achieve a signal-to-noise ratio of 1 (where the signal is the count of true events within \(\Delta t\)), how long must the counting interval \(\Delta t\) be?","The counting time \(\Delta t = 9 \text{ seconds}\) is required to obtain 900 true events. If the counting time for the background is still set to 1 second, then the signal-to-noise ratio is 1.",\boxed{9},NV,\text{秒},False,EN,Practical Application
3794,Modern Physics,Semiconductor Physics,"Magnetic, Optical, and Superconducting Properties","Consider a crystal containing paramagnetic impurities, where the energy levels of the impurities in a given magnetic field are ±\(\varepsilon\). Write the expression for the contribution of the impurities to the specific heat. Additionally, draw the curve of specific heat as a function of temperature.","The average energy of the crystal is given by

\[
E = -\frac{\mathrm{d}}{\mathrm{d}\left(\frac{1}{k_{\mathrm{B}} T}\right)} \ln Z = -\varepsilon \tanh\left(\frac{\varepsilon}{k_{\mathrm{B}} T}\right)
\]

Therefore,

\[
c_{V} = \frac{\mathrm{d} E}{\mathrm{~d} T} = k_{\mathrm{B}} \left(\frac{\varepsilon}{k_{\mathrm{B}} T}\right)^{2} \operatorname{sech}^{2}\left(\frac{\varepsilon}{k_{\mathrm{B}} T}\right)
\]

The relationship curve between specific heat and temperature is shown in Figure 1.3.6.",\boxed{k_{\mathrm{B}} \left( \frac{\varepsilon}{k_{\mathrm{B}} T} \right)^{2}  \operatorname{sech}^{2}\left( \frac{\varepsilon}{k_{\mathrm{B}} T} \right)},EX,,False,EN,Math Derivation
3795,Modern Physics,Semiconductor Physics,Others,"Within an error margin of 10, answer the following question using estimation, rough calculation, or memory:  
What is the magnetic dipole moment of the Earth? Please explain in detail how you arrived at your answer.",The magnetic dipole moment of the Earth is \(8.0 \times 10^{25} \mathrm{erg/G}\) (from memory).,\boxed{8.0 \times 10^{25}},NV,,False,EN,Knowledge Recall
3797,Modern Physics,Semiconductor Physics,Others,"A beam of light suspends a perfectly reflective small particle with a mass of \(10^{-3} \mathrm{~g}\) in the air. The angle \(\theta\) between the reflected and incident light is broadly distributed, and we can consider the average value of \(\cos \theta\) to be zero. What is the power of the laser in watts?","Since the particle is suspended in the air, the upward force \(f\) exerted by the laser on the particle equals the downward gravitational force on the particle. Therefore,

\[
f = m g
\]

The force \(f\) is equal to the change in momentum of the light incident on the particle in the vertical direction per unit time:

\[
f = \frac{\omega}{c}(1 + \cos \theta)
\]

where \(\omega\) is the power of the laser. According to the problem statement, the average value of \(\cos \theta\) \(\overline{\cos \theta}=0\), thus \(\frac{\omega}{c} = m g\).

\[
\omega = m g c = 10^{-6} \times 9.8 \times 3 \times 10^{8} \approx 3 \times 10^{3} \mathrm{~W}
\]

Therefore, the power of the laser is approximately 3 kW.",\boxed{3000},NV,\mathrm{W},False,EN,Laws Application
3798,Modern Physics,Semiconductor Physics,Transport Properties,"At the temperature of liquid nitrogen, intrinsic germanium is excited by light to generate conduction electrons, with an average density of \(1 \times 10^{12} \mathrm{~cm}^{-3}\). At this temperature, the mobility of electrons and holes are equal, \(\mu=0.5 \times 10^{4} \mathrm{~cm}^{2} / \mathrm{V} \cdot \mathrm{s}\). Find the approximate value of the diffusion coefficient for electrons and holes. (At room temperature, \(\frac{k_{\mathrm{B}} T}{e}=26 \mathrm{mV}\).)","According to the Einstein relation

\[
\frac{D}{\mu}=\frac{k_{\mathrm{B}} T}{e}
\]

At the temperature of liquid nitrogen, \(T_{\mathrm{D}}=77 \mathrm{~K}\). In the problem, it is given that \(\mu_{\mathrm{n}}=\mu_{\mathrm{p}}=\mu\), thus

\[
D_{\mathrm{n}}=D_{\mathrm{p}}=D
\]

From this, we find the diffusion coefficient for electrons and holes\\
\(D=\frac{k_{\mathrm{B}} T_{\mathrm{D}}}{e} \mu=26 \times 10^{-3} \frac{T_{\mathrm{D}}}{T} \mu=26 \times 10^{-3} \times \frac{77}{300} \times 0.5=3.34 \times 10^{-3}\left(\mathrm{~m}^{2} / \mathrm{s}\right)\)\\",\boxed{3.34 \times 10^{-3}},NV,\mathrm{m}^2/\mathrm{s},False,EN,Laws Application
3799,Modern Physics,Semiconductor Physics,Transport Properties,"Consider a sufficiently thick n-type silicon sample with stable hole injection at the surface, \((\Delta p)_{0}=10^{13} \, \mathrm{cm}^{-3}\), hole lifetime \(\tau_{\mathrm{p}}=5 \, \mu\mathrm{s}\), and mobility \(\mu_{\mathrm{p}}=500 \, \mathrm{cm}^{2}/\mathrm{V} \cdot \mathrm{s}\). Calculate the distance from the surface at which the excess carrier hole concentration drops to \(10^{12} \, \mathrm{cm}^{-3}\).","Using the solution to the diffusion equation:

\[
1 \times 10^{12} = 1 \times 10^{13} \, \mathrm{e}^{-\frac{x}{L_{\mathrm{p}}}}
\]

we obtain:

\[
x = \ln 10 \cdot L_{\mathrm{p}} = (\ln 10) \times 8.06 \times 10^{-3} = 1.85 \times 10^{-4} \, \mathrm{cm}
\]",\boxed{1.85 \times 10^{-4}},NV,,False,EN,Laws Application
