index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
5051,Electromagnetism,Geometrical Optics,Imaging of Light,"An elderly person can clearly see objects between 100 cm and 300 cm. Simplifying the eye to a simple lens located 2.0 cm from the retina, find the focal length of the lens when viewing the near point at \(100 \, \text{cm}\).","In the above equation, if \(u_{\text{near}} = 100 \, \text{cm}\), then \(f_{\text{near}} = 1.96 \, \text{cm}\).",\boxed{1.96},NV,\mathrm{cm},False,EN,Laws Application
5052,Electromagnetism,Geometrical Optics,Imaging of Light,"The refractive index of a material depends on the wavelength, \( n=n(\lambda) \), and this phenomenon is called dispersion. The focal length of a lens is related to the wavelength:

\[
\frac{1}{f}=(n-1)\left(\frac{1}{R_{1}}-\frac{1}{R_{2}}\right)
\]

where \( R_{1}, R_{2} \) are the radii of curvature of the two surfaces of the lens. Since \( f(n-1)= \) constant, we have:

\[
\frac{\delta f}{f}+\frac{\delta n}{n-1}=0
\]

The quantity \( \frac{\delta n}{n-1}=\Delta \) is called the relative dispersion of the lens material. Determine the condition for achromatic two closely spaced lenses.

The dispersion relations for lens I and lens II are:

\[
\frac{\delta f_{1}}{f_{1}}+\Delta_{1}=0 \quad \frac{\delta f_{2}}{f_{2}}+\Delta_{2}=0
\]","For lenses I and II, we have

\[
\frac{\delta f_{1}}{f_{1}}+\Delta_{1}=0 \quad \frac{\delta f_{2}}{f_{2}}+\Delta_{2}=0 \tag{3}
\]",\boxed{\Delta_1 f_1 + \Delta_2 f_2 = 0},EQ,,False,EN,Math Derivation
5086,Electromagnetism,Geometrical Optics,Imaging of Light,"The diameter of the objective lens of an astronomical telescope is 18 cm, with a light transmission coefficient of 0.50. Find the optimal magnification (normal magnification) for observing stars with this telescope. Assume the diameter of the pupil of the eye can be taken as 3.0 mm.","To satisfy the condition \( D' < D_e \), a reasonable design would require the telescope magnification \( M \) to satisfy

\[
D' = \frac{D}{M} = D_e
\]

Calculating this gives

\[
M = \frac{D}{D_e} = \frac{18}{0.3} = 60 \text{ (times)}
\]",\boxed{60},NV,,False,EN,Practical Application
5105,Electromagnetism,Geometrical Optics,Imaging of Light,"The refractive index of a material depends on the wavelength, \( n=n(\lambda) \), a phenomenon known as dispersion. The focal length of a lens is related to the wavelength:

\[
\frac{1}{f}=(n-1)\left(\frac{1}{R_{1}}-\frac{1}{R_{2}}\right)
\]

Here, \( R_{1}, R_{2} \) are the radii of curvature of the two lens surfaces. Since \( f(n-1)= \) constant, then

\[
\frac{\delta f}{f}+\frac{\delta n}{n-1}=0
\]

The quantity \( \frac{\delta n}{n-1}=\Delta \) is called the relative dispersion of the lens material. Find the condition for achromaticity for two closely spaced lenses.

Determine \( f_1 \) and \( f_2 \) using the given conditions and formulas:

\[
\frac{1}{f_{1}}=\frac{1}{f}\left(\frac{\Delta_{2}}{\Delta_{2}-\Delta_{1}}\right) \quad \text{and} \quad \frac{1}{f_{2}}=\frac{1}{f}\left(\frac{\Delta_{1}}{\Delta_{2}-\Delta_{1}}\right)
\]","From equations (1) and (4) we obtain

\[
\frac{1}{f_{1}}=\frac{1}{f}\left(\frac{\Delta_{2}}{\Delta_{2}-\Delta_{1}}\right) \quad \text{and} \quad \frac{1}{f_{2}}=\frac{1}{f}\left(\frac{\Delta_{1}}{\Delta_{2}-\Delta_{1}}\right) \tag{5}
\]

From equation (4), it is known that the signs of \( f_{1} \) and \( f_{2} \) are always opposite, meaning one lens diverges while the other converges. To correct chromatic aberration, one should use flint glass \(\left(\Delta_{1} \approx 1/30\right)\) and the other should use crown glass \(\left(\Delta_{2} \approx 1/60\right)\). If the system is convergent, the lens with a shorter focal length should be convergent \(\left(f_{1}>0, f_{1}<f_{2}\right)\) and made of crown glass to ensure \(\left(\Delta_{2}-\Delta_{1}\right)>0\).","\boxed{f_1, f_2}",EX,"None, None",True,EN,Laws Application
5118,Electromagnetism,Geometrical Optics,Imaging of Light,An elderly person can clearly see objects from 100 cm to 300 cm. Simplify the eye as a single lens located 2.0 cm from the retina. What is the focal length of the lens when viewing the far point at \(300 \mathrm{~cm}\)?,"Using

\[
\frac{1}{u_{\text{far}}} + \frac{1}{v} = \frac{1}{f_{\text{far}}}
\]

and substituting \(u_{\text{far}} = 300 \mathrm{~cm}, v = 2.0 \mathrm{~cm}\), we get \(f_{\text{far}} = 1.99 \mathrm{~cm}\).",\boxed{1.99},NV,\mathrm{cm},False,EN,Laws Application
5119,Electromagnetism,Geometrical Optics,Imaging of Light,An object is placed 10 cm in front of a converging lens with a focal length of 10 cm. Determine the position of the image formed by the converging lens.,"For the first lens (converging lens), the object distance $s_1 = -10 \ \text{cm}, \ f_1 = 10 \ \text{cm}$. According to the lens formula, the image distance $s_1^{\prime} = \infty$. Therefore, through the converging lens, the object forms an image at infinity.",\boxed{s_1^{\prime} = \infty},NV,,False,EN,Laws Application
5124,Electromagnetism,Geometrical Optics,Reflection and Refraction of Light,"Given a disk with a radius of \(a\) and a thickness of \(d\), how can its refractive index be altered so that it becomes an equivalent converging thin lens with a focal length of \(f\), where \(f \gg r\)? Write an approximate solution for the radial distribution function of the refractive index \(n(r)\).","When \(f \gg r\), the approximation is given by

$$
n(r) = n_{0} + \frac{1}{2} \frac{r^{2}}{d f}
$$

$$
<image 1>
$$
\end{center}",\boxed{n(r) = n_{0} + \frac{1}{2} \frac{r^{2}}{d f}},EQ,,False,EN,Math Derivation
5125,Electromagnetism,Geometrical Optics,Reflection and Refraction of Light,"A light ray enters the surface of a glass semicircular cylinder along a plane perpendicular to the cylinder's axis, making an angle of $45^{\circ}$ with the normal to the plane. Given that the refractive index of the glass is $n=\sqrt{2}$, determine the angle of refraction of the light ray after it passes through the glass.","According to Snell's law,

$$
\sin 45^{\circ}=n \sin \beta, \quad n=\sqrt{2}
$$

we find $\beta=30^{\circ}$. That is, after entering the plane, the angle of refraction of the light is $30^{\circ}$.",\boxed{30},NV,^{\circ},False,EN,Laws Application
5140,Electromagnetism,Geometrical Optics,Reflection and Refraction of Light,A concave mirror converges parallel light perpendicular to its optical axis at a point 20 cm away. Find the focal length $f_0$ of the concave mirror.,"According to the properties of a concave mirror, when parallel light perpendicular to the optical axis converges at a point 20 cm from the mirror, the focal length of the concave mirror is $f_0 = 20 \mathrm{~cm}$.",\boxed{20},NV,\mathrm{cm},False,EN,Knowledge Recall
5148,Electromagnetism,Geometrical Optics,Imaging of Light,"The diameter of the objective lens of a telescope is \(75 \, \text{mm}\), and the diameter of the eye's pupil is \(3.0 \, \text{mm}\). Calculate the ratio of the apparent brightness of the Moon's image seen through the telescope to its natural apparent brightness when the magnification is 25 times.","Consider the case when \(D_{e}=3.0 \, \text{mm}, D=75 \, \text{mm}\):

When \(M=25\), then

\[ 
D^{\prime} = \frac{D}{M} = 3.0 \, \text{mm} = D_{e} 
\]

At this point,

\[ 
\frac{H_{0}}{H} = 1 
\]",\boxed{1},NV,,False,EN,Practical Application
