index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
1761,Mechanics and Thermodynamics,Classical Mechanics,Rigid-Body Dynamics,"Two identical homogeneous spheres undergo a head-on collision, where one sphere rolls without slipping towards the other sphere, which is initially at rest, with a center of mass velocity of \( v \). Assume that all frictional forces can be neglected during the collision, and that the collision is perfectly elastic. Calculate the ratio of the mechanical energy lost due to friction to the initial energy.","The moment of inertia about the instantaneous axis is

\[
\frac{2}{5} m r^{2}+m r^{2}=\frac{7}{5} m r^{2}
\]

The mechanical energy of the two spheres before the collision is

\[
\frac{1}{2} \times \frac{7}{5} m r^{2}\left(\frac{v}{r}\right)^{2}=\frac{7}{10} m v^{2}
\]

The mechanical energy of the two spheres after the collision, when both are in pure rolling motion, is

\[
\frac{1}{2} \times \frac{7}{5} m r^{2}\left(\frac{2}{7} \frac{v}{r}\right)^{2}+\frac{1}{2} \times \frac{7}{5} m r^{2}\left(\frac{5}{7} \frac{v}{r}\right)^{2}=\frac{29}{70} m v^{2}
\]

The mechanical energy lost is

\[
\frac{7}{10} m v^{2}-\frac{29}{70} m v^{2}=\frac{2}{7} m v^{2}
\]

The ratio of the mechanical energy lost to the initial mechanical energy is \( \frac{20}{49} \).","\[
\boxed{\frac{20}{49}}
\]",NV,,False,EN,Laws Application
2965,Mechanics and Thermodynamics,Thermodynamics,Phase Transition and Equilibrium,"The specific volumes of water and water vapor are $1.043 \times 10^{-3} \mathrm{~m}^{3} /\mathrm{kg}$ and $1.673 \mathrm{~m}^{3} /\mathrm{kg}$, respectively. It is known that the enthalpy change for converting $1 \mathrm{~mol}$ of ice at $0^{\circ} \mathrm{C}$ to steam at $100^{\circ} \mathrm{C}$ at 1 atm is $5.417 \times 10^{4} \mathrm{~J}$. Calculate the change in internal energy $\Delta U$.","The change in internal energy of the system in an isobaric process is given by

$$
\begin{aligned}
\Delta U & = \Delta H - p \Delta V = \Delta H - p m \left(V_{\text{vapor}} - V_{\text{liquid}}\right) \\
& = 5.417 \times 10^{4} - 1.013 \times 10^{5} \times 0.018 \times \left(1.673 - 1.043 \times 10^{-3}\right) \\
& = 5.112 \times 10^{4} \mathrm{~J}
\end{aligned}
$$",\boxed{5.112 \times 10^{4}},NV,,False,EN,Laws Application
4922,Modern Physics,Quantum Mechanics,Quantum Information Physics,Find the von Neumann entropy \( S(\rho) \) for the density matrix \( \rho = \left(\begin{array}{cc}1/2 & i/3 \\ -i/3 & 1/2\end{array}\right) \).,"For the given density matrix, \( S(\rho) = \log_{2} 6 - \frac{5}{6} \log_{2} 5 \).",\boxed{\log_{2} 6 - \frac{5}{6} \log_{2} 5},NV,,False,EN,Math Derivation
2090,Mechanics and Thermodynamics,Classical Mechanics,Rigid-Body Dynamics,A disk $A$ with a radius of $a$ rotates with a constant angular velocity $\omega_{A}$ around its fixed center $O$. Another disk $B$ with a radius of $b$ rolls purely without slipping on the outer side of the first disk with a constant angular velocity $\omega_{B}$ around its center $O'$. Find the shortest time $t_{3}$ required for the point $O'$ to return to its original position in space.,"The shortest time required for the point $O'$ to return to its original position in space is the period of the connecting rod $OO'$,

$$
t_{3} = \frac{2 \pi}{\Omega} = \frac{2 \pi(a+b)}{\omega_{A} a + \omega_{B} b}
$$",\(\boxed{\frac{2 \pi (a+b)}{\omega_{A} a + \omega_{B} b}}\),NV,,False,EN,Math Derivation
5310,Modern Physics,Quantum Mechanics,Quantum Optics,"Assuming gamma rays with a wavelength of \( 0.188 \times 10^{-2} \, \mathrm{nm} \) obtained from a cesium \( \mathrm{Cs}^{137} \) sample collide with a free electron, determine the Compton wavelength shift for the light observed scattered at an angle of \( 90^{\circ} \) from the direction of incidence.","The formula for the Compton wavelength shift is
\[
\Delta \lambda = 2 \lambda_{c} \sin^{2}(\theta / 2)
\]
which is independent of the wavelength of the incident light.",\boxed{0},NV,,False,EN,Laws Application
3085,Mechanics and Thermodynamics,Statistical Mechanics,Maxwell-Boltzmann Statistics,"Energy Probability. A classical non-interacting monoatomic gas is in thermal equilibrium. Prove that the number of atoms in the gas within a momentum space region of radius $\mathrm{d}^{3} \boldsymbol{p}$ can be expressed as $A \mathrm{~d}^{3} \boldsymbol{p} \mathrm{e}^{-p^{2} / 2mkT}$, where $A$ is a normalization constant, and find this constant.","When the number of gas atoms $N$ is large, the states of the system can be considered as continuously distributed. According to the uncertainty principle, the volume element occupied by a state in phase space is $\mathrm{d}^{3} \boldsymbol{p} \mathrm{~d}^{3} \boldsymbol{q} / h^{3}$. Since the system is in thermal equilibrium, the probability for a single atom to have energy $E = p^{2} / 2m$ is $\propto \mathrm{e}^{-E / kT}$. Therefore, the probability for an atom to be between $\boldsymbol{p}$ and $\boldsymbol{p} + \mathrm{d}^{3} \boldsymbol{p}$ is $A \mathrm{~d}^{3} \boldsymbol{p} \mathrm{e}^{-p^{2} / 2mkT}$, where $A$ is a normalization constant. The constant $A$ is determined by the following integral relationship:

$$
A \int \mathrm{~d}^{3} \boldsymbol{p} \mathrm{e}^{-p^{2} / 2mkT} = 1
$$

Solving for $A$ yields:

$$
A = (2 \pi m k T)^{-3 / 2}
$$",\[\boxed{(2 \pi m k T)^{-3 / 2}}\],NV,,False,EN,Math Derivation
1516,Modern Physics,Atomic Physics,Particle Physics,"According to the Weinberg-Salam model, the coupling of the Higgs boson \( \phi \) with various fermions \( f \) (where \( f \) is a quark or lepton) is given by

\[ 
\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}} \phi \bar{\mathrm{f}} f 
\]

where \( m_{\mathrm{f}} \) is the mass of the fermion, \( e \) is the charge of the electron and muon, and \( m_{\mathrm{W}} \) is the mass of the W boson. Assuming the Higgs boson decays into known quarks and leptons, calculate its lifetime. Express it in terms of its mass \( m_{\mathrm{H}} \), assuming that its mass \( m_{\mathrm{H}} \) is much greater than that of the known quarks and leptons.","Fermi's golden rule gives the transition probability to a fermion final state as

\[
\Gamma_{\mathrm{f}} = \int \frac{\mathrm{d}^{3} p}{(2 \pi)^{3} 2 p_{0}} \cdot \frac{\mathrm{d}^{3} q}{(2 \pi)^{3} 2 q_{0}} \cdot \frac{(2 \pi)^{4}}{2 k_{0}} \delta^{4}(k-p-q)|M|^{2}
\]

where

\[
\begin{aligned}
|M|^{2} & = \operatorname{Tr} \sum_{\mathrm{s}, \mathrm{t}}\left[\left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2} \bar{u}_{\mathrm{s}}(p) \nu_{\mathrm{t}}(q) \phi^{*} \phi \bar{\nu}_{\mathrm{t}}(q) u_{\mathrm{s}}(p)\right] \\
& = \left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2} \operatorname{Tr}\left[\left(A-m_{\mathrm{e}}\right)\left(\not p+m_{\mathrm{e}}\right)\right] \\
& = \left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2} \operatorname{Tr}\left[A \cdot \not - m_{\mathrm{e}}^{2}\right] \\
& = 4\left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2}\left(p \cdot q-m_{\mathrm{f}}^{2}\right)
\end{aligned}
\]

Using the relations

\[
\begin{gathered}
p=\left(\frac{m_{\mathrm{H}}}{2}, \boldsymbol{p}\right), \quad q=\left(\frac{m_{\mathrm{H}}}{2},-\boldsymbol{p}\right) \\
p+q=k=\left(m_{\mathrm{H}}, 0,0,0\right) \\
k^{2}=m_{\mathrm{H}}^{2}=(p+q)^{2}=2 m_{\mathrm{f}}^{2}+2 p \cdot q \\
p \cdot q=\frac{k^{2}-p^{2}-q^{2}}{2}=\frac{m_{\mathrm{H}}^{2}-2 m_{\mathrm{f}}^{2}}{2}
\end{gathered}
\]

We find

\[
|M|^{2}=4\left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2}\left(\frac{m_{\mathrm{H}}^{2}-4 m_{\mathrm{f}}^{2}}{2}\right)=2\left(\frac{e m_{\mathrm{f}}}{m_{\mathrm{W}}}\right)^{2} m_{\mathrm{H}}^{2}\left(1-\frac{4 m_{\mathrm{f}}^{2}}{m_{\mathrm{H}}^{2}}\right)
\]

In the rest frame of the Higgs boson,

\[
\Gamma_{\mathrm{f}} = \int \frac{\mathrm{d}^{3} p \mathrm{~d}^{3} q}{(2 \pi)^{6} 4 p_{0} q_{0}} \cdot \frac{(2 \pi)^{4}}{2 m_{\mathrm{H}}} \delta^{(4)}(k-p-q)|M|^{2}
\]

where

\[
\begin{aligned}
& \delta^{(4)}(k-p-q)=\delta^{(3)}(\boldsymbol{k}-\boldsymbol{p}-\boldsymbol{q}) \delta\left(k^{0}-p^{0}-q^{0}\right) \\
&=\delta^{(3)}(0-\boldsymbol{p}-\boldsymbol{q}) \delta\left(m_{\mathrm{H}}-p^{0}-q^{0}\right) \\
& p^{0}=q^{0}=\frac{m_{\mathrm{H}}}{2}, \quad|\boldsymbol{p}|=|\boldsymbol{q}|=\sqrt{\left(\frac{m_{\mathrm{H}}}{2}\right)^{2}-m_{\mathrm{f}}^{2}}
\end{aligned}
\]

Integrating over \( q \), and since \( |M|^{2} \) is independent of \( \theta \), we obtain

\[
\begin{aligned}
\Gamma_{\mathrm{f}} & =\frac{1}{(2 \pi)^{2}} \int \frac{\mathrm{~d}^{3} \boldsymbol{p}}{4 p_{0}^{2}} \cdot \frac{1}{2 m_{\mathrm{H}}} \delta\left(m_{\mathrm{H}}-2 p_{0}\right)|M|^{2} \\
& =\frac{4 \pi}{(2 \pi)^{2} \cdot 4 \cdot 2 m_{\mathrm{H}}} \int \frac{|\boldsymbol{p}|^{2}}{p_{0}^{2}} \mathrm{~d}|\boldsymbol{p}| \cdot \delta\left(m_{\mathrm{H}}-2 p_{0}\right)|M|^{2} \\
& =\frac{1}{8 \pi m_{\mathrm{H}}} \int \frac{|\boldsymbol{p}|^{2}}{p_{0} q_{0}} \frac{\mathrm{~d}|\boldsymbol{p}|}{\mathrm{d} k^{0}} \cdot \delta\left(m_{\mathrm{H}}-2 p_{0}\right)|M|^{2} \mathrm{~d} k^{0} \\
& =\frac{1}{8 \pi m_{\mathrm{H}}} \cdot \frac{|\boldsymbol{p}|^{2}}{p_{0}^{2}} \cdot \frac{\mathrm{~d}|\boldsymbol{p}|}{\mathrm{d} k^{0}} \cdot|M|^{2} \quad k^{0}=m_{\mathrm{H}}
\end{aligned}
\]

where

\[
\frac{\mathrm{d} k^{0}}{\mathrm{~d}|\boldsymbol{p}|}=\frac{\mathrm{d} p^{0}}{\mathrm{~d}|\boldsymbol{p}|}+\frac{\mathrm{d} q^{0}}{\mathrm{~d}|\boldsymbol{q}|}=|\boldsymbol{p}|\left(\frac{|\boldsymbol{p}|}{p^{0}}+\frac{|\boldsymbol{q}|}{q^{0}}\right)=\frac{|\boldsymbol{p}| m_{\mathrm{H}}}{p_{0}^{2}}
\]

Substituting \( |M|^{2} \),

\[
\begin{aligned}
\Gamma_{\mathrm{f}} & =\frac{1}{8 \pi m_{\mathrm{H}}} \cdot|\boldsymbol{p}|^{2} \\
p_{0}^{2} & \frac{p_{0}^{2}}{|\boldsymbol{p}| m_{\mathrm{H}}} \cdot|M|^{2}=\frac{1}{8 \pi m_{\mathrm{H}}^{2}} \cdot|\boldsymbol{p}| \cdot|M|^{2} \\
& =\frac{1}{8 \pi m_{\mathrm{H}}} \cdot\left[\left(\frac{m_{\mathrm{H}}}{2}\right)^{2}-m_{\mathrm{f}}^{2}\right]^{1/2} \cdot 2 \frac{e^{2} m_{\mathrm{f}}^{2} m_{\mathrm{H}}^{2}}{m_{\mathrm{W}}^{2}}\left(1-\frac{4 m_{\mathrm{f}}^{2}}{m_{\mathrm{H}}^{2}}\right)=\frac{e^{2} m_{\mathrm{f}}^{2} m_{\mathrm{H}}}{8 \pi m_{\mathrm{W}}^{2}}\left(1-\frac{4 m_{\mathrm{f}}^{2}}{m_{\mathrm{H}}^{2}}\right)^{3 / 2}
\end{aligned}
\]

When \( m_{\mathrm{H}} \gg m_{\mathrm{f}} \), we approximate

\[
\begin{gathered}
\Gamma_{\mathrm{f}} \approx \frac{e^{2} m_{\mathrm{f}}^{2} m_{\mathrm{H}}}{8 \pi m_{\mathrm{W}}^{2}} \\
\Gamma=\frac{e^{2} m_{\mathrm{H}}}{8 \pi m_{\mathrm{W}}^{2}} \sum a_{\mathrm{f}} m_{\mathrm{f}}^{2}
\end{gathered}
\]

For leptons, \( a_{\mathrm{f}}=1 \); for quarks, \( a_{\mathrm{f}}=3 \). Assuming \( m_{\mathrm{H}} \approx 10 \text{ GeV} \). Let \( m_{\mathrm{W}} \approx 80 \text{ GeV}, m_{\mathrm{u}}=m_{\mathrm{d}}=0.35 \text{ GeV}, m_{\mathrm{s}}=0.5 \text{ GeV}, m_{\mathrm{c}}=1.5 \text{ GeV}, m_{\mathrm{b}}=4.6 \text{ GeV}, m_{\mathrm{e}}=0.5 \times 10^{-3} \text{ GeV}, m_{\mu} \approx 0.11 \text{ GeV}, m_{\mathrm{\tau}}=1.8 \text{ GeV} \). Substituting these values,

\[
\begin{gathered}
\sum a_{\mathrm{f}} m_{\mathrm{f}}^{2}\left(1-\frac{4 m_{\mathrm{f}}^{2}}{m_{\mathrm{H}}^{2}}\right)^{3 / 2} \approx \sum_{\mathrm{f} \neq \mathrm{b}} a_{\mathrm{f}} m_{\mathrm{f}}^{2}+3 m_{\mathrm{b}}^{2}\left(1-\frac{4 m_{\mathrm{b}}^{2}}{m_{\mathrm{H}}^{2}}\right)^{3 / 2}=0.0005^{2}+0.11^{2}+1.8^{2}+ \\
3 \times\left(0.35^{2}+0.35^{2}+0.5^{2}+1.5^{2}\right)+3 \times 4.6^{2}\left[1-\left(\frac{4.6}{10}\right)^{2}\right]^{3 / 2}=15.3 \text{ GeV}^{2} \\
\Gamma=\frac{e^{2} m_{\mathrm{H}}}{8 \pi m_{\mathrm{W}}^{2}} \sum a_{\mathrm{f}} m_{\mathrm{f}}^{2}\left(1-\frac{4 m_{\mathrm{f}}^{2}}{m_{\mathrm{H}}^{2}}\right)^{3 / 2} \approx 15.3 \times \frac{1}{8 \pi \times 137} \times \frac{10}{80^{2}} \\
\approx 6.9 \times 10^{-6}(\mathrm{GeV})=6.9 \times 10^{-3}(\mathrm{MeV}) \\
\tau=\Gamma^{-1}=145 \mathrm{MeV}^{-1} \approx 6.6 \times 10^{-22} \times 145=9.6 \times 10^{-20}(\text{s})
\end{gathered}
\]",\boxed{9.6 \times 10^{-20}},NV,\text{s},False,EN,Math Derivation
3653,Mechanics and Thermodynamics,Statistical Mechanics,Kinetic Theory of Gases,"The cooling of a gas during expansion can be expressed by the following equation: $\frac{T_{0}}{T}=1+\frac{M^{2}}{3}$, where $T_{0}$ is the equilibrium temperature inside the container, $T$ is the temperature after expansion, and $M$ is the ratio of the flow speed $v$ to the speed of sound $c$ at temperature $T$ (i.e., the Mach number). Find the maximum limiting value of $v$ as $T \rightarrow 0 \mathrm{~K}$.","As $T \rightarrow 0 \mathrm{~K}$, from the energy equation, we have
$$
\frac{1}{2} m v_{m}^{2}=c_{\mathrm{p}} T_{0}
$$
Therefore,
$$
v_{m}=\sqrt{\frac{2 c_{\mathrm{p}} T_{0}}{m}}=\sqrt{\frac{5 k T_{0}}{m}}=557 \mathrm{~m} / \mathrm{s}
$$",\boxed{557},NV,\mathrm{m/s},False,EN,Laws Application
1436,Modern Physics,Atomic Physics,Particle Physics,"In an $\mathrm{e}^{+} \mathrm{e}^{-}$ collision experiment, a very narrow resonance state is observed experimentally $\left(E_{\mathrm{CM}}=9.5 \ \mathrm{GeV}\right)$. The integrated cross-section measured for the decay channel $\mathrm{e}^{+} \mathrm{e}^{-} \rightarrow \mu^{+} \mu^{-}$ is $\int \sigma_{\mu \mu}(E) \ \mathrm{d} E = 8.5 \times 10^{-33} \ \mathrm{cm}^{2} \cdot \mathrm{MeV}$. Using the Breit-Wigner resonance formula, determine the partial decay width of the resonance state to the final state muon pair, $\Gamma_{\mu \mu}$.","The Breit-Wigner resonance formula can be written as

$$
\sigma_{\mu \mu}(E) = \frac{\pi(2 J + 1)}{M^{2}} \frac{\Gamma_{\mathrm{ee}} \Gamma_{\mu \mu}}{(E - M)^{2} + \frac{\Gamma^{2}}{4}}
$$

where $M$ and $J$ are the mass and spin of the resonance state, respectively, and $\Gamma, \Gamma_{\mathrm{ee}}$, and $\Gamma_{\mu \mu}$ are the total decay width and partial widths for the resonance state decay. Additionally, there is the relation

$$
\Gamma = \Gamma_{\mathrm{ee}} + \Gamma_{\mathrm{rt}} + \Gamma_{\mu \mu} + \Gamma_{\mathrm{h}}
$$

According to the universality of the lepton's weak interaction, we have $\Gamma_{\mathrm{ee}} = \Gamma_{\mathrm{rt}} = \Gamma_{\mu \mu}$, therefore,

$$
\Gamma = 3 \Gamma_{\mu \mu} + \Gamma_{\mathrm{h}}
$$

For the resonance state parameters $M=9.5 \ \mathrm{GeV}, J=1$. Substituting into the formula, integrating in the resonance region gives

$$
\sigma_{\mu \mu} = \int \sigma_{\mu \mu}(E) \ \mathrm{d} E = \frac{3 \pi \Gamma_{\mu \mu}^{2}}{M^{2}} \int \frac{\mathrm{d} E}{(E - M)^{2} + \frac{\Gamma^{2}}{4}} = \frac{6 \pi^{2} \Gamma_{\mu \mu}^{2}}{M^{2} \Gamma} = 8.5 \times 10^{-33} \ \left(\mathrm{cm}^{2} \cdot \mathrm{MeV}\right)
$$

Solving this gives

$$
\Gamma_{\mu \mu} = \frac{M^{2}}{6 \pi^{2}} \times \frac{\Gamma}{\Gamma_{\mathrm{h}}} \times 3.3 \times 10^{-33} = \frac{(9.5 \times 10^{3})^{2}}{6 \times 3.1416^{2}} \times \frac{\Gamma}{\Gamma_{\mathrm{h}}} \times 8.5 \times 10^{-33}
$$

In the formula, a unit conversion relationship $\mathrm{cm} = 197^{-1} \times 10^{13} \ \mathrm{MeV}^{-1}$ was used.

The solution yields $\Gamma_{\mu \mu} \approx 1.40 \ (\mathrm{keV})$.",\boxed{1.40},NV,\mathrm{keV},False,EN,Practical Application
1752,Mechanics and Thermodynamics,Classical Mechanics,Rigid-Body Dynamics,A homogeneous disk-shaped flywheel with a mass of 300 kg and a diameter of 1 m is rotating at a speed of 1200 revolutions per minute. Find the initial angular velocity of the flywheel.,"$$
\omega_{0} = \frac{1200 \times 2 \pi}{60} = 40 \pi \, \text{rad/s}.
$$",\boxed{40 \pi},NV,\text{rad/s},False,EN,Knowledge Recall
