index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
3786,Modern Physics,Solid-State Physics,Crystal Structure,"If a crystal lattice can act as an excellent diffraction grating, try to estimate the energy of the incident photons. Assume that the order of magnitude of the atomic spacing in the crystal is \(10^{-10} \, \mathrm{m}\) (1 Å). Diffraction can occur when the wavelength of the incident wave is less than this value.","If the incident photons striking the crystal produce diffraction, the wavelength of the incident wave is approximately \(10^{-10} \, \mathrm{m}\). Therefore, the energy of the incident photons is:

\[
E = h \nu = \frac{h c}{\lambda} = \frac{6.626 \times 10^{-34} \times 3 \times 10^{8}}{1 \times 10^{-10}} = 1.9878 \times 10^{-15} \, \mathrm{J} = 12407 \, \mathrm{eV}
\]",\boxed{12407},NV,\mathrm{eV},False,EN,Knowledge Recall
3787,Modern Physics,Solid-State Physics,Lattice Vibrations and Mechanical Properties of Solids,"Use the Debye model to calculate the density of states \(D(\omega)\) for a one-dimensional monoatomic lattice at temperatures below the Debye temperature \(\Theta_{D}=\frac{\hbar \pi v}{k_{B} a}\), where \(v\) is the speed of sound, \(a\) is the lattice constant, and \(k_{B}\) is the Boltzmann constant.","For a one-dimensional monoatomic lattice, the density of states is

\[
D(\omega)=\frac{L}{\pi v}
\]",\boxed{\frac{L}{\pi v}},NV,,False,EN,Knowledge Recall
3790,Modern Physics,Solid-State Physics,Crystal Structure,"A beam of electrons with a kinetic energy of 1 keV undergoes diffraction through a polycrystalline metal surface. This metal has a cubic crystal structure with an atomic spacing of \(1 \, \text{Å}\). Calculate the Bragg angle for the first-order diffraction maximum.","According to the Bragg reflection condition

\[
2d \sin \theta = n\lambda
\]

for the first-order diffraction maximum, \(n = 1\), and knowing \(d = 1 \, \text{Å}\), therefore

\[
\sin \theta = \frac{\lambda}{2d} = \frac{0.39}{2 \times 1} = 0.195
\]

Thus,

\[
\theta = 11.18^\circ
\]",\boxed{11.18},NV,^\circ,False,EN,Laws Application
3791,Modern Physics,Solid-State Physics,Lattice Vibrations and Mechanical Properties of Solids,"For a monoatomic gas, consider it as an ideal gas. At temperature \(T\), the internal energy per mole of the gas is given by

\[
E = \frac{i}{2} N k_{\mathrm{B}} T = \frac{i}{2} R T
\]

where \(i\) is the degree of freedom of the molecule, and \(R = N k_{\mathrm{B}} = 2 \, \text{cal/mol} \cdot \text{K}\). Determine the molar specific heat for a monoatomic gas.","For a monoatomic gas, \(i = 3\), thus the molar specific heat at constant volume is

\[
c_{V} = \frac{3}{2} R
\]",\boxed{\frac{3}{2} R},NV,,False,EN,Knowledge Recall
3793,Modern Physics,Solid-State Physics,Transport Properties of Electrons and Holes in Solids,"The resistivity of copper is \(1.56 \times 10^{-8} \, \Omega \cdot \mathrm{m}\). Find the mobility \(u\).","Mobility. From the conductivity formula
\[
\sigma=n e \mu
\]

Therefore,
\[
\mu=\frac{\sigma}{n e}=\frac{1}{1.56 \times 10^{-8}} \times \frac{1}{8.4 \times 10^{28} \times 1.6 \times 10^{-19}}=47.7 \, \mathrm{cm}^2/\mathrm{Vs}
\]",\boxed{47.7},NV,\mathrm{cm}^2/\mathrm{Vs},False,EN,Knowledge Recall
3796,Modern Physics,Solid-State Physics,Crystal Structure,"When you are sitting in front of a color television (which has a cathode-ray tube voltage of 25 kV), you are just under X-ray irradiation. As a result of the continuous spectrum, calculate the shortest wavelength (maximum energy) of the X-rays.","When X-rays are emitted, the maximum photon energy \(h \nu_{\max}\) should equal the electron energy \(e V\), so the shortest wavelength of the X-rays is

\[
\lambda_{\min} = \frac{c h}{e V} = \frac{12400}{V} = \frac{12400}{25 \times 10^{3}} = 0.496 \, \text{Å}
\]",\boxed{0.496},NV,\text{Å},False,EN,Knowledge Recall
3800,Modern Physics,Solid-State Physics,Crystal Defects and Motion,"In a simple cubic crystal composed of \(N\) monatomic atoms, consider point defects formed by vacancies at thermal equilibrium. If the temperature of the crystal is \(T\), and the energy required to create one vacancy is \(u\), write down the number of such defects \(n\) at thermal equilibrium, assuming \(n \ll N\).","The number of ways to form \(n\) vacancies by removing \(n\) atoms from \(N\) atoms is given by

\[
W=\frac{N!}{(N-n)!n!}
\]

This is due to the increase in the number of microstates caused by the formation of defects in the crystal, thus the change in configurational entropy is

\[
\Delta S=k_{\mathrm{B}} \ln W
\]

The creation of \(n\) vacancies leads to an increase in the internal energy of the crystal

\[
\Delta U=n u
\]

Therefore, the change in free energy of the crystal system due to the creation of \(n\) vacancies is

\[
\Delta F=n u-k_{\mathrm{B}} T \ln W=n u-k_{\mathrm{B}} T \ln \frac{N!}{(N-n)!n!}
\]

At thermal equilibrium, the number of point defects is determined by the condition:

\[
\frac{\partial \Delta F}{\partial n}=0
\]

Using Stirling's approximation, \(\ln x! \approx x \ln x-x\) (where \(x\) is a large number), and noting that both \(N\) and \(n\) are large numbers but \(n \ll N\), we obtain

\[
u-k_{\mathrm{B}} T \ln \frac{N}{n}=0
\]

Thus, the number of point defects at thermal equilibrium is

\[
n=N \mathrm{e}^{-u / k_{\mathrm{B}} T}
\]",\boxed{n=N e^{-u / k_{B} T}},EX,,False,EN,Math Derivation
3801,Modern Physics,Solid-State Physics,Transport Properties of Electrons and Holes in Solids,"Based on the density of states and energy changes, the specific heat of metal electrons as a function of temperature is:

\[
c_{\mathrm{e}}=\frac{\partial}{\partial T}\left(\frac{N_{0}}{E_{\mathrm{F}}^{0}} k_{B} T \cdot \frac{3}{2} k_{B} T\right)=3 N_{0} k_{B} \cdot \frac{k_{\mathrm{B}} T}{E_{\mathrm{F}}^{0}}=3 R \cdot \frac{T}{T_{\mathrm{F}}}
\]

Calculate and compare the specific heat of metal electrons to the classical theoretical value.","At high temperatures, the specific heat of solids follows the Dulong-Petit law, which is a constant and equals \(3 R\) (\(R\) is the gas constant). Therefore, the ratio of the electron specific heat obtained in this problem to the classical theoretical value is \(\frac{T}{T_{\mathrm{F}}}\). At room temperature \(T=300 \mathrm{~K}\), the Fermi temperature is generally around \(10^{4} \mathrm{~K}\), \(T_{\mathrm{F}} \gg T\), so the contribution of metal electrons to specific heat is extremely small.",\boxed{\frac{T}{T_{\mathrm{F}}}},NV,,False,EN,Laws Application
3803,Modern Physics,Solid-State Physics,Transport Properties of Electrons and Holes in Solids,"Assume silver is a monovalent metal with a spherical Fermi surface. Calculate the Fermi velocity. The density of silver is \(10.5 \ \mathrm{g/cm^3}\), and its atomic weight is \(107.87\).","The electron concentration of silver \(n = \frac{10.5}{107.87} \times 6.022 \times 10^{23} = 5.86 \times 10^{22} \ \mathrm{cm}^{-3}\)

The radius of the Fermi sphere \(k_{\mathrm{F}} = 1.2 \times 10^{8} \ \mathrm{cm}^{-1}\) (obtained from the previous step)

Fermi velocity \(v_{\mathrm{F}}\)

\[
v_{\mathrm{F}} = \frac{\hbar k_{\mathrm{F}}}{m} = \frac{1.05 \times 10^{-34} \times 1.2 \times 10^{8}}{9.1 \times 10^{-31}} = 1.38 \times 10^{8} \ \mathrm{cm/s}
\]",\boxed{1.38 \times 10^{8}},NV,,False,EN,Laws Application
3804,Modern Physics,Solid-State Physics,Crystal Structure,"If a lattice can serve as a very good diffraction grating, attempt to estimate the energy of the incident neutrons. Assume the order of magnitude of the atomic spacing in the crystal is \(10^{-10} \mathrm{~m}\) (1 Å), and diffraction can occur when the wavelength of the incident wave is less than this value. The rest energy of the neutron is \(m_{\mathrm{n}} c^{2}=939 \mathrm{MeV}\).","If the incident neutrons striking the crystal produce diffraction, then the incident wavelength is also approximately \(10^{-10} \mathrm{~m}\). Therefore, the energy of the incident neutrons is

\[
\begin{aligned}
E & = \frac{p^{2}}{2 m_{\mathrm{n}}} = \frac{\left(\frac{h}{\lambda}\right)^{2}}{2 m_{\mathrm{n}}} = \frac{h^{2}}{2 m_{\mathrm{n}} \lambda^{2}} = \left(\frac{h c}{\lambda}\right)^{2} \cdot \frac{1}{m_{\mathrm{n}} c^{2}} \\
& = \left(\frac{4.1358 \times 10^{-15} \times 3 \times 10^{8}}{1 \times 10^{-10}}\right)^{2} \cdot \frac{1}{939 \times 10^{6} \, \mathrm{eV}} \\
& = 8.2 \times 10^{-2} \, \mathrm{(eV)}
\end{aligned}
\]",\boxed{8.2 \times 10^{-2}},NV,,False,EN,Laws Application
