index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
575,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"A certain atom's ${}^{3} \mathrm{P}_{2}$ energy level is found to split into five sublevels, with the ratio of the intervals between adjacent sublevels being $9: 7: 5: 3$. Using the interval rule, determine the nuclear spin quantum number $I$ of this atom and the total atomic angular momentum quantum number $F$ corresponding to each sublevel. Find the nuclear spin quantum number $I$.","The rule for hyperfine level intervals is: for a given $J$ value, the interval between two adjacent hyperfine sublevels is proportional to the larger of the quantum numbers $F$ of the two sublevels.  
Since the total atomic angular momentum quantum numbers are $F = I + J, I + J - 1, \ldots, |I - J|$,  
When $I \geqslant J$, there are $2J+1$ sublevels; when $I < J$, there are $2I+1$ sublevels.  
There are 5 sublevels, and since $J = 2$, we have $2J+1 = 5$.  
This implies $I \geqslant 2$, so the quantum numbers $F = I+2, I+1, I, I-1, I-2$.  
According to the interval rule, $(I+2):(I+1): I:(I-1)=9: 7: 5: 3$.  

Therefore, $I = \frac{5}{2}$.",\boxed{\frac{5}{2}},NV,,False,EN,Laws Application
576,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"If the energy of a photon is equal to the rest energy of an electron, what is the frequency of this photon?","The rest energy of an electron is \(m_{\mathrm{e}} c^{2} = 8.187 \times 10^{-14} \mathrm{~J} = 0.5110 \mathrm{~MeV}\). \\
Therefore, the frequency of a photon with energy equal to the rest energy of an electron is

\[
\nu = \frac{m_{\mathrm{e}} c^{2}}{h} = 1.2356 \times 10^{20} \mathrm{~Hz}.
\]",\boxed{1.2356 \times 10^{20}},NV,\text{Hz},False,EN,Laws Application
577,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"In a hydrogen atom, when the transition of the electron wave function from $\psi_{1}$ to $\psi_{2}$ with the emission of a photon is forbidden, then both $\psi_{1}$ and $\psi_{2}$ are spherically symmetric. Is this correct?

(A) Yes

(B) No","Since $\psi_{1}$ and $\psi_{2}$ are spherically symmetric, both have angular quantum numbers $j=0$. The selection rule for transitions requires that the change in angular quantum number before and after the transition be $\Delta j=0, \pm 1$ (except for $j_{i}=0 \rightarrow j_{i}=0$). Therefore, this is a forbidden transition. (Refer to problem 3.56)

The answer is (Yes).",\boxed{A},MC,,False,EN,Laws Application
578,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"The Franck-Hertz experiment demonstrates that when electrons undergo inelastic scattering by atoms within a certain energy range, the energy lost by electrons is discrete. What does this indicate? Please choose the option that aligns with the above description.  
(A) Electrons are always elastically scattered by atoms  
(B) Electrons are never elastically scattered by atoms  
(C) Electrons within a certain energy range are inelastically scattered by atoms, and the energy lost by the electrons is discrete  
(D) When electrons are inelastically scattered, the energy lost by the electrons is always the same","Even without knowing the specific details of the Franck-Hertz experiment, it can be identified that only statement (C) is correct among the options. In fact, because an atom's energy levels are discrete, the energy lost by the electrons should also be discrete.

The answer is (C).",\boxed{C},MC,,False,EN,Knowledge Recall
579,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"Using the formula $\frac{|\Delta \lambda|}{\lambda}=\frac{|\Delta \mu|}{\mu}$, estimate the relative deviation in the hydrogen atom $\mathrm{H}_{\alpha}$ line introduced by neglecting the finite nuclear mass correction.","Consider the difference in reduced mass before and after accounting for the finite mass of ${ }^{1} \mathrm{H}$ nucleus:

$$
\Delta \mu^{\prime}=m_{\mathrm{e}}-\frac{M_{\mathrm{p}} m_{\mathrm{e}}}{M_{\mathrm{p}}+m_{\mathrm{e}}}=\frac{m_{\mathrm{e}}^{2}}{M_{\mathrm{p}}+m_{\mathrm{e}}}
$$

The deviation in wavelength is given by:

$$
\frac{|\Delta \lambda|}{\lambda}=\frac{\left|\Delta \mu^{\prime}\right|}{\mu}=\frac{m_{\mathrm{e}}}{M_{\mathrm{p}}}=5.4 \times 10^{-4}
$$",\boxed{5.4 \times 10^{-4}},NV,,False,EN,Laws Application
580,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"Consider a lithium atom as a hydrogen-like ion. Try to determine the ionization energy of its \(2S\) electron, assuming the shielding effect of the two inner electrons is not considered.","If the two inner electrons are not considered, the valence electron will be in the Bohr orbit with \(Z=3\) and \(n=2\). Therefore, its ionization energy is

\[
E_{2}=-\frac{3^{2} \times 13.6}{2^{2}} \, \text{eV} = -30.6 \, \text{eV}
\]",\boxed{-30.6},NV,\text{eV},False,EN,Laws Application
581,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"Regarding rare earth elements, which of the following statements is correct?
(A) The entire d-subshell is filled with electrons
(B) Because their valence electrons are filled in the 4f subshell, they are difficult to identify using chemical methods;
(C) They all belong to Group II elements;
(D) They are semiconductors.","Rare earth elements: In the sixth period of the periodic table, from ${}^{58} \mathrm{Ce}$ to ${}^{71} \mathrm{Lu}$, fourteen elements have their valence electrons successively filled in the 4f subshell, while $5s$, $5p$, and $6s$ subshells remain unchanged, resulting in similar chemical properties, forming the group of rare earth elements.

The answer is (B).",\boxed{B},MC,,False,EN,Knowledge Recall
582,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"Which of the following has the smallest energy level spacing?
(A) Molecular rotational energy level
(B) Molecular vibrational energy level
(C) Molecular electronic energy level
(D) Atomic electronic energy level","The answer is (A), $\Delta E_{\text{electronic}} > \Delta E_{\text{vibrational}} > \Delta E_{\text{rotational}}$.",\boxed{A},MC,,False,EN,Knowledge Recall
583,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"The spectral term $\mathrm{D}_{5/2}$ of ${^{39}_{19}\text{K}}$ has 4 hyperfine components.  
(2) What is the expected ratio of the intervals among the 4 hyperfine states?","Assuming the hyperfine structure is split due to the interaction between the nuclear magnetic moment and the magnetic field generated by the electrons, we have:

$$
\Delta E \sim 2 \boldsymbol{I} \cdot \boldsymbol{J} = F(F+1) - I(I+1) - J(J+1)
$$

where $\boldsymbol{F} = \boldsymbol{I} + \boldsymbol{J}$. Thus, for $F=1,2,3,4$, we obtain:

$$
\begin{aligned}
& \Delta E(F=1) \approx 2 \\
& \Delta E(F=2) \approx 6 \\
& \Delta E(F=3) \approx 12 \\
& \Delta E(F=4) \approx 20
\end{aligned}
$$

The differences are $4, 6, 8$, respectively, so the expected ratio of the energy level intervals among the 4 hyperfine states is $2, 3, 4$.","\boxed{2, 3, 4}",NV,"None, None, None",True,EN,Laws Application
584,Modern Physics,Atomic Physics,Atomic and Molecular Physics,"It is known that a hydrogen atom in its ground state is excited by incoming monochromatic light, and only four spectral lines are observed in the Lyman series of its emitted light.  
Find the energy of this incoming monochromatic light.","According to the problem, the ground state hydrogen atom is excited to the \( n=5 \) state.

$$
\begin{aligned}
h \nu & = R_{\mathrm{H}} h c \left( \frac{1}{1^2} - \frac{1}{5^2} \right) \\
& = 13.6 \times \left( \frac{1}{1} - \frac{1}{25} \right) = 13.06 \ \mathrm{eV}
\end{aligned}
$$",\boxed{13.06},NV,\mathrm{eV},False,EN,Laws Application
