index,domain,subject,topic,problem,solution,answers,answer_type,unit,is_multiple_answer,language,level
5038,Electromagnetism,Wave Optics,Diffraction,"A large number of point sources are randomly distributed along the $x$-axis, and the distribution of their amplitudes can be expressed as

$$
\tilde{U}(x)=\sum_{n=1}^{N} \delta\left(x-x_{n}\right)
$$

Find $\mathscr{F}\{\tilde{U}(x)\}$.","By the linearity theorem of the Fourier transform, we have

$$
\begin{aligned}
\mathscr{F}\{\tilde{U}(x)\} & =\mathscr{F}\left\{\sum_{n=1}^{N} \delta\left(x-x_{n}\right)\right\} \\
& =\sum_{n=1}^{N} \mathscr{F}\left\{\delta\left(x-x_{n}\right)\right\} = \sum_{n=1}^{N} \mathrm{e}^{-\mathrm{i} 2 \pi f x_{n}}.
\end{aligned}
$$",\boxed{\sum_{n=1}^{N} \mathrm{e}^{-\mathrm{i} 2 \pi f x_{n}}},EX,,False,EN,Math Derivation
5039,Electromagnetism,Wave Optics,Interference,"A plane electromagnetic wave propagating in a vacuum has its electric field given by \( E_{x}=0, E_{y}=0, E_{z}=\left(10^{2} \, \mathrm{V/m}\right) \cos\left[\pi \times 10^{14} \, \mathrm{s^{-1}}\left(t-\frac{x}{c}\right)+\frac{\pi}{2}\right] \).  
Determine the period of this electromagnetic wave.","Referring to the basic form of a plane wave

$$
E=A \cos \left[2 \pi \nu\left(t-\frac{z}{c}\right)+\varphi\right]
$$

we see that

$$
E_{z}=\left(10^{2} \, \mathrm{V/m}\right) \cos \left[2 \pi \times \frac{10^{14}}{2} \, \mathrm{s^{-1}}\left(t-\frac{x}{c}\right)+\frac{\pi}{2}\right]
$$

Thus, the period \( T=\frac{1}{\nu}=2 \times 10^{-14} \, \mathrm{s} \).",\boxed{2 \times 10^{-14}},NV,\mathrm{s},False,EN,Knowledge Recall
5040,Electromagnetism,Wave Optics,Diffraction,"For a homogeneous medium with an absorption coefficient $\alpha = 0.32 \, \mathrm{cm}^{-1}$, determine the thickness of the medium when the emitted light intensity is 0.1 times the incident light intensity.","Using the equation $I = I_{0} \mathrm{e}^{-\alpha l}$, we have $l = \frac{\ln (I_{0} / I)}{\alpha} = \frac{\lg (I_{0} / I)}{0.434 \alpha}$. Given $\alpha = 0.32 \, \mathrm{cm}^{-1}$,\\
when $\frac{I_{0}}{I} = \frac{1}{0.1} = 10$, we obtain

$$
l_{1} = \frac{\lg (10)}{0.434 \times 0.32} = 7.196 \, \mathrm{cm}
$$",\boxed{7.196},NV,\mathrm{cm},False,EN,Laws Application
5041,Electromagnetism,Wave Optics,Diffraction,"In a medium, the oscillation of bound electrons absorbs the energy of electromagnetic radiation, and this is frequency-dependent. This phenomenon is called dispersion. Dispersion can be described by the dispersion parameter $D$, which is given by the formula:

$$
D=-\frac{2 \pi c}{\lambda^{2}} \beta_{2} \approx-\frac{\lambda}{c} \frac{\mathrm{d}^{2} n}{\mathrm{d} \lambda^{2}}
$$

where $\beta_{2}$ is the group velocity dispersion coefficient. It is known that for a certain single-mode optical fiber at $\lambda=0.8 \ \mu \mathrm{m}$, the measurement gives $\lambda^{2}\left(\frac{\mathrm{d}^{2} n}{\mathrm{d} \lambda^{2}}\right)=0.02$. Please calculate $D$.","From the above equation,

$$
D=\frac{-1}{c \lambda} \lambda^{2}\left(\frac{\mathrm{d}^{2} n}{\mathrm{d} \lambda^{2}}\right)
$$

Substituting $c=3 \times 10^{5} \ \mathrm{km/s}$ and $\lambda=800 \ \mathrm{nm}$, we get

$$
D=-83 \ \mathrm{ps}/(\mathrm{km} \cdot \mathrm{nm}) = -83 \times 10^{-12} \ \mathrm{s}/(\mathrm{km} \cdot \mathrm{nm})
$$",\boxed{-83},NV,\mathrm{ps}/(\mathrm{km} \cdot \mathrm{nm}),False,EN,Knowledge Recall
5043,Electromagnetism,Wave Optics,Diffraction,"Calculate the minimum resolvable angular distance for a reflecting telescope with an 8 cm objective lens, a focal length of $1.5 \mathrm{~m}$, and an 80x eyepiece, assuming a wavelength of $6000 \AA$. Express the final result in arcseconds.","The minimum resolvable angle for this telescope should be $\Delta \theta = \max \left(\Delta \theta_{1}, \Delta \theta_{2}\right) = 2^{\prime \prime}$, where $^{\prime \prime}$ represents arcseconds.",\boxed{2},NV,\text{arcseconds},False,EN,Laws Application
5044,Electromagnetism,Wave Optics,Polarization,"If the radiation wavelengths of a binary star system are both \(5770 \, \text{}\) and \(5790 \, \text{}\), how many lines should a grating have to distinguish between these two radiation wavelengths?","Typically, when natural light is reflected at the interface of two media, the reflected light is partially polarized. However, when the angle of incidence satisfies

$$
\theta_{B}=\arctan \frac{n_{1}}{n_{0}}
$$

where $n_{0}$ and $n_{1}$ are the refractive indices of the incident medium and the refractive medium respectively, the reflected light is linearly polarized with vibrations perpendicular to the plane of incidence. This angle $\theta_{B}$ is called the Brewster's angle or the polarization angle.

The calculations for $r, R, \bar{R}$, and $t, T, \bar{T}$ for the $S$ and $P$ components are based on Fresnel's equations. Because the angle of incidence is Brewster's angle, the sum of the angle of incidence and the angle of refraction is $\frac{\pi}{2}$. Intensity refers to the average energy flow density, which is the time average of the Poynting vector, while energy flow equals the intensity multiplied by the cross-sectional area of the beam. The reflected light and incident light are in the same medium, with equal cross-sectional areas, while the refracted light and incident light are in different media, with different cross-sectional areas, which is noteworthy.

1. According to Fresnel's equations, the amplitude reflectance $r_{s}$ and amplitude transmittance $t_{s}$ for the $S$ component are

$$
\begin{gathered}
r_{s}=\frac{n_{1} \cos \theta_{1}-n_{2} \cos \theta_{2}}{n_{1} \cos \theta_{1}+n_{2} \cos \theta_{2}}=-\frac{\sin \left(\theta_{1}-\theta_{2}\right)}{\sin \left(\theta_{1}+\theta_{2}\right)} \\
t_{s}=\frac{2 n_{1} \cos \theta_{1}}{n_{1} \cos \theta_{1}+n_{2} \cos \theta_{2}}=\frac{2 \sin \theta_{2} \cos \theta_{1}}{\sin \left(\theta_{1}+\theta_{2}\right)}
\end{gathered}
$$

The amplitude reflectance $r_{P}$ and amplitude transmittance $t_{P}$ for the $P$ component are

$$
\begin{gathered}
r_{P}=\frac{n_{2} \cos \theta_{1}-n_{1} \cos \theta_{2}}{n_{2} \cos \theta_{1}+n_{1} \cos \theta_{2}}=\frac{\tan \left(\theta_{1}-\theta_{2}\right)}{\tan \left(\theta_{1}+\theta_{2}\right)} \\
t_{P}=\frac{2 n_{1} \cos \theta_{1}}{n_{2} \cos \theta_{1}+n_{1} \cos \theta_{2}}=\frac{2 \cos \theta_{1} \sin \theta_{2}}{\sin \left(\theta_{1}+\theta_{2}\right) \cos \left(\theta_{1}-\theta_{2}\right)}
\end{gathered}
$$

where $n_{1}=1$, $n_{2}=n=1.50$, $\theta_{1}$ is the angle of incidence, and $\theta_{2}$ is the angle of refraction. Since the angle of incidence is the Brewster's angle, we have

$$
\theta_{1}=\theta_{B}=\arctan n=\arctan 1.50=56.3^{\circ}
$$

Additionally,

$$
\theta_{1}+\theta_{2}=\frac{\pi}{2}
$$

Substituting into the formulas for $r_{s}$ and $r_{p}$, we obtain

$$
\begin{gathered}
r_{s}=-\frac{\sin \left(56.3^{\circ}-33.7^{\circ}\right)}{\sin \left(56.3^{\circ}+33.7^{\circ}\right)}=-0.384 \\
r_{p}=0
\end{gathered}
$$

Since the reflected light and incident light are in the same medium with equal cross-sectional areas, the intensity reflectance $R_{S}$ and $R_{P}$, as well as the energy flow reflectance $\bar{R}_{S}$ and $\bar{R}_{P}$ for the $S$ and $P$ components respectively, are

$$
\begin{aligned}
& R_{S}=\left|r_{S}\right|^{2}=0.148, \quad R_{P}=0 \\
& \bar{R}_{S}=\left|r_{S}\right|^{2}=0.148, \quad \bar{R}_{P}=0
\end{aligned}
$$

For the refracted light, substituting $\theta_{1}$ and $\theta_{2}$ into $t_{s}$ and $t_{P}$, we have

$$
\begin{gathered}
t_{s}=\frac{2 \sin \theta_{2} \cos \theta_{1}}{\sin \left(\theta_{1}+\theta_{2}\right)}=\frac{2 \sin 33.7^{\circ} \cos 56.3^{\circ}}{\sin \frac{\pi}{2}}=0.616 \\
t_{P}=\frac{2 \cos \theta_{1} \sin \theta_{2}}{\sin \left(\theta_{1}+\theta_{2}\right) \cos \left(\theta_{1}-\theta_{2}\right)}=\frac{2 \cos 56.3^{\circ} \sin 33.7^{\circ}}{\cos \left(56.3^{\circ}-33.7^{\circ}\right)}=0.667
\end{gathered}
$$

Since the refracted light and incident light are in different media with different cross-sectional areas, the intensity transmittance and energy flow transmittance are not simply equal to the square of the amplitude transmittance. The intensity refers to the average energy flow density, which is the time average of the Poynting vector, given by

$$
\widetilde{S}=\frac{1}{2} \sqrt{\frac{\varepsilon_{0} \varepsilon_{\mathrm{r}}}{\mu_{0} \mu_{\mathrm{r}}}} E^{2}
$$

where $E$ is the amplitude of the electric vector. Since $\mu_{\mathrm{r}} \approx 1$, and the speed of light in vacuum $c=\frac{1}{\sqrt{\varepsilon_{0}} \mu_{0}}$, and the refractive index $n=\sqrt{\varepsilon_{\mathrm{r}} \mu_{\mathrm{r}}} \approx \sqrt{\varepsilon_{\mathrm{r}}}$, this can be rewritten as

$$
\bar{S}=\frac{1}{2 c \mu_{0}} n E^{2}
$$

Thus, the intensity is proportional to $n E^{2}$, and the intensity transmittance is

$$
T=\frac{\bar{S}_{2}}{\bar{S}_{1}}=\frac{n_{2}}{n_{1}} t^{2}
$$

The intensity transmittance for the $S$ and $P$ components is

$$
\begin{aligned}
& T_{S}=\frac{n_{2}}{n_{1}} t_{S}^{2}=n t_{S}^{2}=0.569 \\
& T_{P}=\frac{n_{2}}{n_{1}} t_{P}^{2}=n t_{P}^{2}=0.667
\end{aligned}
$$

The energy flow equals the intensity multiplied by the cross-sectional area of the beam, and the ratio of the cross-sectional areas of the refracted beam to the incident beam is $\frac{\cos \theta_{2}}{\cos \theta_{1}}$, so the energy flow transmittance is

$$
\bar{T}=\frac{\bar{S}_{2} \cos \theta_{2}}{\bar{S}_{1} \cos \theta_{1}}=\frac{n_{2} \cos \theta_{2}}{n_{1} \cos \theta_{1}} t^{2}=\frac{\cos \theta_{2}}{\cos \theta_{1}} T
$$

Substituting the values, the energy flow transmittance for the $S$ and $P$ components is

$$
\begin{gathered}
\bar{T}_{S}=\frac{\cos \theta_{2}}{\cos \theta_{1}} T_{S}=0.853 \\
\bar{T}_{P}=\frac{\cos \theta_{2}}{\cos \theta_{1}} T_{P}=1
\end{gathered}
$$

The fact that the energy flow transmittance $\bar{T}_{P}=1$ for the $P$ component is expected because, when light is incident at the Brewster's angle $\left(\theta_{1}=\theta_{B}\right)$, the reflected light does not contain any $P$ component, meaning the entire energy of the incident $P$ component is transmitted.",\boxed{289},NV,,False,EN,Practical Application
5045,Electromagnetism,Wave Optics,Interference,"Under normal incidence of white light, observed from a direction perpendicular to a thin film medium, the wavelength for constructive interference maximum is $0.6 \, \mu \mathrm{m}$, and the wavelength for destructive interference minimum is $0.45 \, \mu \mathrm{m}$. Given that the refractive index of the medium is 1.5, determine the film thickness that satisfies the condition for constructive interference.","Let the wavelength for constructive interference maximum be $\lambda_{1}$. The following equation holds (considering half-wave loss):

Constructive maximum:
$$
2 n h = \left(m_{1} + \frac{1}{2}\right) \lambda_{1}
$$

For $m_{1} = 0, 1, 2, 3, 4, 5, 6, 7, \cdots$, substitute $\lambda_{1} = 0.6 \, \mu \mathrm{m}$:

$$
\frac{2 m_1 + 1}{4} \times 0.6 = 0.15, 0.45, 0.75, 1.05, 1.35, 1.65, 1.95, 2.25, \cdots
$$

When $m_{1} = 1$, we have:
$$
n h = \frac{2 \times 1 + 1}{4} \times 0.6 = 0.45 \, (\mu \mathrm{m})
$$

From the first solution, determine $h$:
$$
n h = 0.45, \quad h = \frac{0.45}{1.5} = 0.3 \, (\mu \mathrm{m})
$$",\boxed{0.3},NV,\mu \mathrm{m},False,EN,Laws Application
5047,Electromagnetism,Wave Optics,Diffraction,"Given a non-dispersive medium (such as sound waves in air), the phase velocity is $v_{p}=v_{0}$ (a constant). Find the group velocity.","For a non-dispersive medium, we have

$$
\frac{d v_{p}}{d \lambda}=0
$$

Therefore, the group velocity is equal to the phase velocity

$$
v_{g}=v_{p}=v_{0}
$$",\boxed{v_{0}},NV,,False,EN,Knowledge Recall
5048,Electromagnetism,Wave Optics,Diffraction,"A homogeneous medium has an absorption coefficient $\alpha = 0.32 \, \mathrm{cm}^{-1}$. Determine the thickness of the medium when the emergent light intensity is $0.2$ times the incident light intensity.","From the equation $I = I_{0} \mathrm{e}^{-\alpha l}$, we have $l = \frac{\ln (I_{0} / I)}{\alpha} = \frac{\lg (I_{0} / I)}{0.434 \alpha}$. Given $\alpha = 0.32 \, \mathrm{cm}^{-1}$,\\
when $\frac{I_{0}}{I} = \frac{1}{0.2} = 5$, we get

$$
l_{2} = \frac{\lg (5)}{0.434 \times 0.32} = 5.0295 \, \mathrm{cm}
$$",\boxed{5.0295},NV,\mathrm{cm},False,EN,Practical Application
5049,Electromagnetism,Wave Optics,Diffraction,"Given the phase velocity \( v_{p} = K \lambda \), calculate the group velocity in this case.","The relationship between phase velocity \( v_{p} \) and group velocity \( v_{g} \) is

\[ v_{g} = v_{p} - \lambda \frac{\mathrm{d} v_{p}}{\mathrm{d} \lambda} \]

Given \( v_{p} = K \lambda \), then \(\frac{\mathrm{d} v_{p}}{\mathrm{d} \lambda} = K\), so \( v_{g} = K \lambda - K \lambda = 0 \).",\boxed{0},NV,,False,EN,Math Derivation
